#resid average_duration max_duration persistent_contacts
1 3.870026525198939 22 377
10 3.7806603773584904 22 424
11 3.909365558912387 19 331
12 4.1568627450980395 62 306
13 4.178787878787879 44 330
14 3.7797927461139897 23 386
15 3.7943444730077123 17 389
16 3.9737609329446064 72 343
17 3.615598885793872 15 359
18 3.5597667638483963 17 343
19 3.978328173374613 18 323
2 3.965699208443272 19 379
20 3.682215743440233 17 343
21 3.6353591160220993 18 362
22 3.81360201511335 72 397
23 3.87 23 300
24 3.7577464788732393 12 355
25 4.1455525606469 62 371
26 3.9375 22 400
3 3.828080229226361 17 349
4 4.077611940298508 44 335
5 4.107734806629834 22 362
6 3.71356783919598 25 398
7 3.8711484593837535 17 357
8 3.7096774193548385 15 341
9 3.991279069767442 17 344
#TOTAL_CONTACTS 22936 for 10100 frames
