#resid average_duration max_duration persistent_contacts
1 4.081690140845071 59 355
10 3.863888888888889 17 360
11 3.9289940828402368 59 338
12 3.856492027334852 37 439
13 3.870967741935484 18 310
14 3.71044776119403 17 335
15 3.695876288659794 17 388
16 3.712984054669704 16 439
17 3.9321148825065273 16 383
18 3.8287292817679557 15 362
19 3.774678111587983 19 466
2 4.029490616621984 37 373
20 3.6587030716723548 22 293
21 3.6620111731843576 12 358
22 3.820253164556962 17 395
23 3.7003058103975537 18 327
24 3.5603112840466924 16 257
25 3.708978328173375 18 323
26 3.891891891891892 16 370
3 3.911764705882353 22 408
4 3.6233766233766236 16 385
5 3.5852631578947367 18 475
6 3.635087719298246 18 285
7 3.9653465346534653 16 404
8 3.814404432132964 18 361
9 4.02332361516035 19 343
#TOTAL_CONTACTS 23000 for 9600 frames
