#resid average_duration max_duration persistent_contacts
1 3.886977886977887 64 407
10 4.042492917847025 21 353
11 4.153846153846154 40 403
12 3.7153846153846155 36 390
13 3.5525525525525525 15 333
14 3.6854460093896715 16 426
15 3.6863753213367607 19 389
16 3.5235602094240837 16 382
17 3.852367688022284 33 359
18 3.9627039627039626 24 429
19 3.7596685082872927 24 362
2 4.026699029126213 36 412
20 3.7866004962779156 65 403
21 4.298153034300792 64 379
22 3.6576819407008085 21 371
23 3.7838616714697406 32 347
24 3.7793764988009593 40 417
25 3.785553047404063 33 443
26 3.8241758241758244 16 455
3 3.847457627118644 31 354
4 3.914438502673797 24 374
5 3.6863270777479893 17 373
6 3.8160919540229883 17 348
7 3.6584766584766584 24 407
8 3.896755162241888 31 339
9 3.8700906344410875 65 331
#TOTAL_CONTACTS 24156 for 10100 frames
