#resid average_duration max_duration persistent_contacts
1 3.630272952853598 15 403
10 3.78 19 350
11 3.6649874055415617 18 397
12 3.9768115942028985 16 345
13 3.6956521739130435 15 483
14 4.123543123543124 91 429
15 3.716417910447761 15 402
16 4.198044009779951 91 409
17 3.716535433070866 15 381
18 3.6296296296296298 19 378
19 3.800982800982801 51 407
2 3.6666666666666665 15 360
20 3.773170731707317 16 410
21 3.479357798165138 17 436
22 3.8646616541353382 16 399
23 3.8333333333333335 31 318
24 3.6005291005291005 14 378
25 3.8756345177664975 19 394
26 3.7832618025751072 19 466
3 3.8095238095238093 14 441
4 3.9602649006622515 16 453
5 3.3789473684210525 14 380
6 3.7918552036199094 15 442
7 3.89058524173028 19 393
8 3.835990888382688 32 439
9 3.789473684210526 32 437
#TOTAL_CONTACTS 25168 for 10100 frames
