Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.087000	0.093000	0.098000	0.094000	0.093000	0.092000	0.094000	0.090000	0.093000	0.092667	0.001000
3	0.201000	0.204000	0.211000	0.204000	0.208000	0.206000	0.205000	0.202000	0.206000	0.205222	0.001011
4	0.197000	0.200000	0.206000	0.200000	0.205000	0.201000	0.200000	0.199000	0.202000	0.201111	0.000949
5	0.206000	0.209000	0.213000	0.208000	0.215000	0.210000	0.209000	0.207000	0.212000	0.209889	0.000978
6	0.183000	0.187000	0.189000	0.184000	0.192000	0.186000	0.187000	0.185000	0.188000	0.186778	0.000909
7	0.174000	0.179000	0.187000	0.176000	0.182000	0.176000	0.179000	0.176000	0.181000	0.178889	0.001338
8	0.100000	0.099000	0.108000	0.102000	0.105000	0.103000	0.104000	0.100000	0.103000	0.102667	0.000943
9	0.056000	0.056000	0.065000	0.058000	0.062000	0.057000	0.060000	0.057000	0.057000	0.058667	0.001027
10	0.043000	0.050000	0.053000	0.044000	0.045000	0.048000	0.044000	0.049000	0.046000	0.046889	0.001111
11	0.072000	0.076000	0.084000	0.075000	0.073000	0.077000	0.072000	0.079000	0.075000	0.075889	0.001274
12	0.110000	0.116000	0.120000	0.117000	0.115000	0.118000	0.113000	0.120000	0.113000	0.115778	0.001128
13	0.115000	0.122000	0.135000	0.122000	0.121000	0.123000	0.119000	0.126000	0.118000	0.122333	0.001900
14	0.119000	0.130000	0.137000	0.128000	0.125000	0.127000	0.122000	0.131000	0.123000	0.126889	0.001806
15	0.109000	0.119000	0.128000	0.117000	0.113000	0.116000	0.111000	0.118000	0.112000	0.115889	0.001889
16	0.102000	0.110000	0.107000	0.106000	0.102000	0.105000	0.102000	0.107000	0.100000	0.104556	0.001082
17	0.077000	0.096000	0.099000	0.082000	0.079000	0.081000	0.079000	0.083000	0.078000	0.083778	0.002681
18	0.040000	0.048000	0.060000	0.027000	0.026000	0.027000	0.026000	0.027000	0.026000	0.034111	0.004161
