Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.226000	0.217000	0.218000	0.219000	0.219000	0.212000	0.218000	0.227000	0.217000	0.219222	0.001544
3	0.177000	0.171000	0.172000	0.172000	0.173000	0.167000	0.169000	0.176000	0.172000	0.172111	0.001033
4	0.205000	0.197000	0.199000	0.200000	0.200000	0.196000	0.199000	0.204000	0.199000	0.199889	0.000978
5	0.201000	0.194000	0.196000	0.197000	0.196000	0.192000	0.195000	0.201000	0.196000	0.196444	0.000988
6	0.208000	0.203000	0.204000	0.205000	0.204000	0.201000	0.203000	0.207000	0.203000	0.204222	0.000722
7	0.196000	0.190000	0.192000	0.192000	0.192000	0.187000	0.190000	0.194000	0.190000	0.191444	0.000868
8	0.191000	0.187000	0.188000	0.188000	0.189000	0.183000	0.186000	0.188000	0.185000	0.187222	0.000778
9	0.173000	0.168000	0.170000	0.170000	0.170000	0.165000	0.169000	0.169000	0.167000	0.169000	0.000745
10	0.162000	0.160000	0.162000	0.161000	0.160000	0.157000	0.161000	0.160000	0.157000	0.160000	0.000624
11	0.142000	0.142000	0.144000	0.143000	0.142000	0.139000	0.142000	0.141000	0.137000	0.141333	0.000707
12	0.131000	0.130000	0.133000	0.132000	0.130000	0.128000	0.130000	0.129000	0.125000	0.129778	0.000778
13	0.112000	0.112000	0.115000	0.113000	0.113000	0.110000	0.113000	0.112000	0.107000	0.111889	0.000754
14	0.098000	0.098000	0.101000	0.099000	0.099000	0.097000	0.099000	0.098000	0.094000	0.098111	0.000633
15	0.073000	0.074000	0.076000	0.075000	0.074000	0.074000	0.075000	0.074000	0.071000	0.074000	0.000471
16	0.024000	0.025000	0.025000	0.025000	0.025000	0.025000	0.025000	0.026000	0.023000	0.024778	0.000278
