Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.209000	0.211000	0.225000	0.228000	0.219000	0.227000	0.228000	0.220000	0.218000	0.220556	0.002375
3	0.166000	0.165000	0.175000	0.185000	0.170000	0.172000	0.175000	0.168000	0.167000	0.171444	0.002089
4	0.200000	0.194000	0.208000	0.214000	0.203000	0.205000	0.206000	0.202000	0.200000	0.203556	0.001886
5	0.200000	0.195000	0.205000	0.216000	0.202000	0.203000	0.203000	0.198000	0.201000	0.202556	0.001952
6	0.213000	0.202000	0.214000	0.227000	0.215000	0.215000	0.215000	0.209000	0.211000	0.213444	0.002199
7	0.198000	0.194000	0.202000	0.215000	0.203000	0.206000	0.202000	0.196000	0.202000	0.202000	0.002048
8	0.196000	0.191000	0.199000	0.215000	0.201000	0.208000	0.200000	0.194000	0.201000	0.200556	0.002422
9	0.178000	0.177000	0.181000	0.196000	0.183000	0.195000	0.184000	0.174000	0.180000	0.183111	0.002552
10	0.170000	0.165000	0.174000	0.188000	0.175000	0.191000	0.175000	0.168000	0.172000	0.175333	0.002906
11	0.147000	0.148000	0.154000	0.168000	0.157000	0.174000	0.156000	0.154000	0.151000	0.156556	0.002991
12	0.137000	0.137000	0.142000	0.152000	0.144000	0.162000	0.145000	0.142000	0.139000	0.144444	0.002683
13	0.118000	0.120000	0.121000	0.128000	0.120000	0.141000	0.128000	0.122000	0.119000	0.124111	0.002435
14	0.103000	0.106000	0.103000	0.114000	0.106000	0.121000	0.112000	0.103000	0.103000	0.107889	0.002137
15	0.077000	0.081000	0.075000	0.084000	0.080000	0.091000	0.082000	0.078000	0.078000	0.080667	0.001581
16	0.025000	0.029000	0.021000	0.026000	0.025000	0.031000	0.029000	0.025000	0.026000	0.026333	0.000986
