Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.228000	0.230000	0.235000	0.232000	0.222000	0.220000	0.225000	0.224000	0.223000	0.226556	0.001668
3	0.169000	0.175000	0.176000	0.186000	0.178000	0.165000	0.172000	0.174000	0.171000	0.174000	0.001986
4	0.203000	0.205000	0.205000	0.214000	0.210000	0.198000	0.203000	0.207000	0.206000	0.205667	0.001509
5	0.194000	0.206000	0.208000	0.218000	0.216000	0.198000	0.203000	0.206000	0.206000	0.206111	0.002541
6	0.202000	0.218000	0.219000	0.229000	0.228000	0.211000	0.215000	0.218000	0.220000	0.217778	0.002737
7	0.194000	0.208000	0.208000	0.215000	0.220000	0.198000	0.205000	0.210000	0.207000	0.207222	0.002629
8	0.191000	0.208000	0.207000	0.214000	0.221000	0.197000	0.207000	0.209000	0.205000	0.206556	0.002906
9	0.175000	0.192000	0.187000	0.202000	0.205000	0.182000	0.187000	0.189000	0.188000	0.189667	0.003082
10	0.166000	0.185000	0.179000	0.195000	0.197000	0.172000	0.178000	0.179000	0.178000	0.181000	0.003333
11	0.148000	0.166000	0.159000	0.172000	0.175000	0.155000	0.156000	0.160000	0.159000	0.161111	0.002840
12	0.135000	0.155000	0.151000	0.160000	0.158000	0.145000	0.145000	0.147000	0.147000	0.149222	0.002575
13	0.115000	0.133000	0.132000	0.139000	0.134000	0.124000	0.123000	0.128000	0.125000	0.128111	0.002406
14	0.103000	0.120000	0.116000	0.118000	0.119000	0.103000	0.105000	0.111000	0.107000	0.111333	0.002351
15	0.074000	0.088000	0.085000	0.090000	0.087000	0.079000	0.079000	0.084000	0.080000	0.082889	0.001736
16	0.026000	0.030000	0.029000	0.030000	0.030000	0.026000	0.027000	0.029000	0.027000	0.028222	0.000572
