Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.232000	0.236000	0.234000	0.230000	0.233000	0.233000	0.229000	0.232000	0.232000	0.232333	0.000687
3	0.194000	0.198000	0.194000	0.194000	0.194000	0.191000	0.195000	0.191000	0.194000	0.193889	0.000696
4	0.227000	0.230000	0.228000	0.226000	0.226000	0.224000	0.228000	0.224000	0.227000	0.226667	0.000645
5	0.226000	0.230000	0.228000	0.225000	0.224000	0.224000	0.228000	0.224000	0.224000	0.225889	0.000754
6	0.234000	0.237000	0.236000	0.230000	0.232000	0.231000	0.236000	0.231000	0.232000	0.233222	0.000862
7	0.220000	0.222000	0.221000	0.215000	0.216000	0.215000	0.222000	0.217000	0.218000	0.218444	0.000959
8	0.214000	0.215000	0.217000	0.210000	0.210000	0.209000	0.217000	0.210000	0.212000	0.212667	0.001054
9	0.193000	0.194000	0.197000	0.189000	0.190000	0.189000	0.197000	0.190000	0.192000	0.192333	0.001054
10	0.182000	0.182000	0.186000	0.177000	0.179000	0.178000	0.185000	0.180000	0.182000	0.181222	0.001011
11	0.159000	0.159000	0.164000	0.157000	0.158000	0.158000	0.163000	0.157000	0.159000	0.159333	0.000833
12	0.146000	0.146000	0.150000	0.145000	0.146000	0.144000	0.149000	0.143000	0.146000	0.146111	0.000735
13	0.125000	0.124000	0.129000	0.124000	0.124000	0.122000	0.127000	0.122000	0.124000	0.124556	0.000747
14	0.108000	0.109000	0.112000	0.107000	0.109000	0.107000	0.110000	0.106000	0.108000	0.108444	0.000603
15	0.082000	0.082000	0.085000	0.081000	0.082000	0.081000	0.082000	0.080000	0.082000	0.081889	0.000455
16	0.028000	0.027000	0.029000	0.027000	0.028000	0.027000	0.028000	0.028000	0.027000	0.027667	0.000236
