Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.093000	0.094000	0.090000	0.093000	0.094000	0.094000	0.096000	0.093000	0.094000	0.093444	0.000530
3	0.205000	0.202000	0.203000	0.206000	0.202000	0.205000	0.204000	0.203000	0.205000	0.203889	0.000484
4	0.202000	0.200000	0.198000	0.203000	0.196000	0.199000	0.201000	0.199000	0.201000	0.199889	0.000716
5	0.211000	0.208000	0.207000	0.212000	0.204000	0.209000	0.209000	0.207000	0.210000	0.208556	0.000801
6	0.187000	0.186000	0.184000	0.189000	0.180000	0.187000	0.185000	0.183000	0.186000	0.185222	0.000878
7	0.177000	0.176000	0.175000	0.179000	0.172000	0.178000	0.176000	0.173000	0.178000	0.176000	0.000782
8	0.102000	0.100000	0.101000	0.102000	0.100000	0.103000	0.100000	0.100000	0.100000	0.100889	0.000389
9	0.060000	0.056000	0.056000	0.058000	0.055000	0.061000	0.058000	0.057000	0.056000	0.057444	0.000669
10	0.042000	0.047000	0.045000	0.050000	0.045000	0.042000	0.047000	0.042000	0.047000	0.045222	0.000940
11	0.072000	0.075000	0.071000	0.076000	0.073000	0.069000	0.073000	0.070000	0.075000	0.072667	0.000799
12	0.111000	0.114000	0.110000	0.116000	0.112000	0.108000	0.112000	0.110000	0.114000	0.111889	0.000824
13	0.117000	0.119000	0.116000	0.121000	0.117000	0.113000	0.118000	0.115000	0.119000	0.117222	0.000795
14	0.122000	0.124000	0.119000	0.126000	0.120000	0.118000	0.121000	0.118000	0.124000	0.121333	0.000957
15	0.111000	0.111000	0.107000	0.113000	0.109000	0.106000	0.110000	0.108000	0.112000	0.109667	0.000782
16	0.102000	0.100000	0.098000	0.102000	0.099000	0.098000	0.100000	0.098000	0.101000	0.099778	0.000547
17	0.080000	0.079000	0.077000	0.079000	0.077000	0.076000	0.079000	0.077000	0.078000	0.078000	0.000441
18	0.027000	0.026000	0.025000	0.026000	0.025000	0.025000	0.027000	0.026000	0.026000	0.025889	0.000261
