Carbon	SCD_traj1_bloc3	SCD_traj1_bloc4	SCD_traj1_bloc5	SCD_traj2_bloc3	SCD_traj2_bloc4	SCD_traj2_bloc5	SCD_traj3_bloc3	SCD_traj3_bloc4	SCD_traj3_bloc5	scd_mean	se
2	0.096000	0.101000	0.102000	0.095000	0.096000	0.098000	0.095000	0.094000	0.095000	0.096889	0.000949
3	0.208000	0.213000	0.210000	0.207000	0.212000	0.207000	0.206000	0.204000	0.205000	0.208000	0.001027
4	0.205000	0.207000	0.205000	0.203000	0.205000	0.204000	0.200000	0.200000	0.201000	0.203333	0.000833
5	0.213000	0.214000	0.213000	0.211000	0.212000	0.212000	0.208000	0.208000	0.209000	0.211111	0.000754
6	0.188000	0.189000	0.188000	0.187000	0.186000	0.187000	0.182000	0.183000	0.185000	0.186111	0.000790
7	0.178000	0.178000	0.177000	0.177000	0.177000	0.177000	0.174000	0.173000	0.176000	0.176333	0.000577
8	0.101000	0.102000	0.104000	0.103000	0.099000	0.103000	0.100000	0.098000	0.108000	0.102000	0.001000
9	0.058000	0.060000	0.063000	0.065000	0.063000	0.060000	0.059000	0.053000	0.060000	0.060111	0.001160
10	0.044000	0.039000	0.040000	0.040000	0.045000	0.044000	0.039000	0.042000	0.049000	0.042444	0.001119
11	0.071000	0.068000	0.065000	0.067000	0.068000	0.068000	0.063000	0.070000	0.069000	0.067667	0.000816
12	0.109000	0.106000	0.104000	0.107000	0.108000	0.107000	0.101000	0.103000	0.107000	0.105778	0.000862
13	0.113000	0.113000	0.109000	0.113000	0.113000	0.112000	0.103000	0.107000	0.112000	0.110556	0.001180
14	0.118000	0.116000	0.116000	0.116000	0.120000	0.113000	0.107000	0.111000	0.117000	0.114889	0.001317
15	0.106000	0.107000	0.104000	0.104000	0.108000	0.101000	0.098000	0.101000	0.101000	0.103333	0.001106
16	0.097000	0.100000	0.094000	0.098000	0.103000	0.094000	0.090000	0.092000	0.097000	0.096111	0.001348
17	0.076000	0.077000	0.074000	0.077000	0.077000	0.074000	0.070000	0.074000	0.084000	0.075889	0.001263
18	0.027000	0.045000	0.028000	0.033000	0.038000	0.046000	0.031000	0.038000	0.048000	0.037111	0.002638
