Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.095000	0.095000	0.095000	0.095000	0.091000	0.092000	0.094000	0.089000	0.093000	0.093222	0.000722
3	0.206000	0.206000	0.205000	0.206000	0.205000	0.204000	0.207000	0.202000	0.207000	0.205333	0.000527
4	0.204000	0.203000	0.202000	0.204000	0.205000	0.203000	0.203000	0.200000	0.206000	0.203333	0.000577
5	0.215000	0.212000	0.210000	0.214000	0.214000	0.213000	0.212000	0.210000	0.215000	0.212778	0.000641
6	0.193000	0.188000	0.187000	0.190000	0.191000	0.189000	0.188000	0.187000	0.192000	0.189444	0.000729
7	0.183000	0.179000	0.178000	0.180000	0.181000	0.180000	0.179000	0.178000	0.181000	0.179889	0.000539
8	0.109000	0.103000	0.104000	0.105000	0.106000	0.104000	0.102000	0.102000	0.105000	0.104444	0.000729
9	0.068000	0.059000	0.063000	0.065000	0.067000	0.063000	0.060000	0.061000	0.065000	0.063444	0.001029
10	0.044000	0.049000	0.042000	0.045000	0.043000	0.047000	0.049000	0.045000	0.045000	0.045444	0.000818
11	0.071000	0.074000	0.068000	0.071000	0.072000	0.076000	0.075000	0.073000	0.072000	0.072444	0.000801
12	0.112000	0.111000	0.108000	0.112000	0.114000	0.115000	0.115000	0.114000	0.113000	0.112667	0.000745
13	0.116000	0.116000	0.114000	0.117000	0.119000	0.119000	0.120000	0.117000	0.119000	0.117444	0.000648
14	0.119000	0.120000	0.118000	0.122000	0.124000	0.123000	0.123000	0.121000	0.123000	0.121444	0.000689
15	0.106000	0.108000	0.107000	0.109000	0.111000	0.109000	0.111000	0.109000	0.110000	0.108889	0.000564
16	0.096000	0.098000	0.098000	0.099000	0.100000	0.098000	0.101000	0.099000	0.101000	0.098889	0.000539
17	0.075000	0.075000	0.075000	0.076000	0.078000	0.075000	0.077000	0.076000	0.078000	0.076111	0.000423
18	0.025000	0.025000	0.025000	0.025000	0.026000	0.025000	0.025000	0.025000	0.026000	0.025222	0.000147
