Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.224000	0.218000	0.222000	0.222000	0.226000	0.222000	0.220000	0.220000	0.223000	0.221889	0.000790
3	0.173000	0.168000	0.174000	0.165000	0.173000	0.168000	0.170000	0.166000	0.171000	0.169778	0.001077
4	0.206000	0.202000	0.205000	0.198000	0.205000	0.201000	0.201000	0.200000	0.201000	0.202111	0.000889
5	0.206000	0.202000	0.206000	0.197000	0.203000	0.200000	0.201000	0.201000	0.200000	0.201778	0.000969
6	0.218000	0.214000	0.217000	0.208000	0.215000	0.212000	0.212000	0.214000	0.211000	0.213444	0.001029
7	0.208000	0.205000	0.208000	0.199000	0.203000	0.202000	0.203000	0.204000	0.201000	0.203667	0.001000
8	0.207000	0.204000	0.207000	0.197000	0.202000	0.201000	0.201000	0.202000	0.200000	0.202333	0.001080
9	0.192000	0.189000	0.190000	0.180000	0.184000	0.183000	0.184000	0.187000	0.184000	0.185889	0.001285
10	0.183000	0.180000	0.182000	0.173000	0.177000	0.175000	0.175000	0.179000	0.178000	0.178000	0.001118
11	0.164000	0.161000	0.162000	0.155000	0.157000	0.156000	0.155000	0.160000	0.158000	0.158667	0.001080
12	0.151000	0.149000	0.150000	0.144000	0.145000	0.144000	0.144000	0.148000	0.147000	0.146889	0.000920
13	0.129000	0.128000	0.129000	0.124000	0.125000	0.123000	0.125000	0.128000	0.126000	0.126333	0.000745
14	0.112000	0.111000	0.113000	0.108000	0.108000	0.108000	0.108000	0.112000	0.110000	0.110000	0.000687
15	0.084000	0.083000	0.084000	0.082000	0.081000	0.081000	0.081000	0.084000	0.083000	0.082556	0.000444
16	0.029000	0.028000	0.028000	0.028000	0.027000	0.027000	0.027000	0.028000	0.028000	0.027778	0.000222
