Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.089000	0.086000	0.094000	0.090000	0.087000	0.091000	0.090000	0.091000	0.092000	0.090000	0.000816
3	0.204000	0.199000	0.205000	0.203000	0.204000	0.204000	0.208000	0.206000	0.204000	0.204111	0.000807
4	0.201000	0.197000	0.201000	0.199000	0.200000	0.199000	0.203000	0.203000	0.200000	0.200333	0.000645
5	0.211000	0.207000	0.210000	0.209000	0.210000	0.208000	0.212000	0.211000	0.209000	0.209667	0.000527
6	0.188000	0.183000	0.187000	0.186000	0.187000	0.185000	0.189000	0.187000	0.187000	0.186556	0.000580
7	0.179000	0.175000	0.179000	0.176000	0.177000	0.175000	0.178000	0.178000	0.178000	0.177222	0.000521
8	0.103000	0.100000	0.105000	0.104000	0.102000	0.102000	0.102000	0.104000	0.102000	0.102667	0.000500
9	0.058000	0.055000	0.061000	0.060000	0.059000	0.057000	0.057000	0.059000	0.060000	0.058444	0.000626
10	0.047000	0.045000	0.044000	0.043000	0.048000	0.047000	0.048000	0.047000	0.045000	0.046000	0.000601
11	0.076000	0.076000	0.077000	0.074000	0.077000	0.075000	0.076000	0.074000	0.074000	0.075444	0.000412
12	0.116000	0.116000	0.119000	0.116000	0.119000	0.117000	0.116000	0.114000	0.117000	0.116667	0.000527
13	0.121000	0.121000	0.125000	0.123000	0.125000	0.123000	0.122000	0.120000	0.122000	0.122444	0.000580
14	0.126000	0.125000	0.129000	0.127000	0.129000	0.127000	0.127000	0.123000	0.126000	0.126556	0.000626
15	0.114000	0.113000	0.117000	0.115000	0.117000	0.117000	0.114000	0.111000	0.114000	0.114667	0.000687
16	0.103000	0.102000	0.106000	0.104000	0.106000	0.105000	0.103000	0.100000	0.103000	0.103556	0.000648
17	0.080000	0.080000	0.081000	0.081000	0.082000	0.080000	0.080000	0.078000	0.081000	0.080333	0.000373
18	0.027000	0.026000	0.027000	0.027000	0.027000	0.026000	0.027000	0.026000	0.027000	0.026667	0.000167
