Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.086000	0.085000	0.089000	0.094000	0.092000	0.088000	0.090000	0.090000	0.089000	0.089222	0.000925
3	0.203000	0.200000	0.203000	0.203000	0.203000	0.203000	0.202000	0.201000	0.199000	0.201889	0.000512
4	0.198000	0.198000	0.199000	0.200000	0.201000	0.202000	0.198000	0.200000	0.197000	0.199222	0.000547
5	0.208000	0.208000	0.210000	0.211000	0.210000	0.211000	0.208000	0.210000	0.206000	0.209111	0.000564
6	0.186000	0.185000	0.188000	0.189000	0.188000	0.188000	0.186000	0.189000	0.184000	0.187000	0.000601
7	0.178000	0.177000	0.178000	0.180000	0.179000	0.178000	0.177000	0.179000	0.176000	0.178000	0.000408
8	0.104000	0.104000	0.104000	0.104000	0.104000	0.103000	0.104000	0.106000	0.102000	0.103889	0.000351
9	0.060000	0.061000	0.061000	0.061000	0.062000	0.061000	0.059000	0.063000	0.059000	0.060778	0.000434
10	0.050000	0.049000	0.051000	0.048000	0.049000	0.051000	0.049000	0.048000	0.048000	0.049222	0.000401
11	0.078000	0.079000	0.076000	0.079000	0.078000	0.078000	0.077000	0.080000	0.076000	0.077889	0.000455
12	0.119000	0.121000	0.118000	0.120000	0.119000	0.120000	0.119000	0.121000	0.115000	0.119111	0.000611
13	0.123000	0.126000	0.123000	0.125000	0.124000	0.124000	0.124000	0.125000	0.120000	0.123778	0.000572
14	0.127000	0.128000	0.126000	0.128000	0.128000	0.128000	0.126000	0.129000	0.123000	0.127000	0.000601
15	0.113000	0.115000	0.113000	0.114000	0.113000	0.115000	0.113000	0.115000	0.109000	0.113333	0.000624
16	0.102000	0.103000	0.102000	0.102000	0.102000	0.102000	0.101000	0.103000	0.099000	0.101778	0.000401
17	0.078000	0.078000	0.077000	0.078000	0.078000	0.078000	0.078000	0.079000	0.076000	0.077778	0.000278
18	0.025000	0.026000	0.025000	0.026000	0.025000	0.025000	0.026000	0.026000	0.025000	0.025444	0.000176
