Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.101000	0.078000	0.103000	0.104000	0.091000	0.084000	0.097000	0.093000	0.100000	0.094556	0.002977
3	0.193000	0.187000	0.198000	0.203000	0.189000	0.177000	0.203000	0.203000	0.197000	0.194444	0.002959
4	0.192000	0.187000	0.188000	0.192000	0.179000	0.168000	0.194000	0.199000	0.191000	0.187778	0.003072
5	0.200000	0.190000	0.193000	0.203000	0.183000	0.175000	0.203000	0.207000	0.199000	0.194778	0.003507
6	0.180000	0.166000	0.173000	0.183000	0.160000	0.155000	0.181000	0.188000	0.175000	0.173444	0.003694
7	0.173000	0.159000	0.165000	0.171000	0.154000	0.148000	0.173000	0.175000	0.163000	0.164556	0.003145
8	0.095000	0.088000	0.095000	0.097000	0.084000	0.080000	0.097000	0.100000	0.089000	0.091667	0.002248
9	0.051000	0.042000	0.060000	0.056000	0.036000	0.034000	0.056000	0.054000	0.039000	0.047556	0.003275
10	0.047000	0.034000	0.034000	0.034000	0.045000	0.037000	0.056000	0.049000	0.051000	0.043000	0.002809
11	0.076000	0.065000	0.061000	0.061000	0.069000	0.057000	0.083000	0.074000	0.076000	0.069111	0.002903
12	0.114000	0.096000	0.099000	0.099000	0.099000	0.089000	0.120000	0.109000	0.110000	0.103889	0.003293
13	0.118000	0.098000	0.101000	0.103000	0.108000	0.097000	0.120000	0.116000	0.115000	0.108444	0.003005
14	0.122000	0.103000	0.107000	0.109000	0.113000	0.104000	0.126000	0.118000	0.114000	0.112889	0.002659
15	0.112000	0.095000	0.095000	0.102000	0.103000	0.099000	0.113000	0.105000	0.102000	0.102889	0.002144
16	0.100000	0.085000	0.088000	0.093000	0.095000	0.088000	0.104000	0.097000	0.092000	0.093556	0.002049
17	0.075000	0.066000	0.071000	0.072000	0.079000	0.067000	0.082000	0.075000	0.074000	0.073444	0.001725
18	0.024000	0.022000	0.023000	0.023000	0.026000	0.020000	0.028000	0.026000	0.024000	0.024000	0.000799
