Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.224000	0.222000	0.227000	0.223000	0.222000	0.219000	0.225000	0.219000	0.221000	0.222444	0.000884
3	0.175000	0.174000	0.181000	0.179000	0.175000	0.175000	0.175000	0.174000	0.175000	0.175889	0.000807
4	0.210000	0.209000	0.216000	0.215000	0.211000	0.211000	0.210000	0.210000	0.211000	0.211444	0.000801
5	0.211000	0.211000	0.217000	0.216000	0.212000	0.212000	0.210000	0.211000	0.214000	0.212667	0.000816
6	0.224000	0.223000	0.229000	0.229000	0.225000	0.225000	0.223000	0.224000	0.226000	0.225333	0.000764
7	0.216000	0.213000	0.218000	0.217000	0.214000	0.217000	0.213000	0.214000	0.216000	0.215333	0.000624
8	0.214000	0.212000	0.217000	0.216000	0.213000	0.215000	0.212000	0.213000	0.215000	0.214111	0.000588
9	0.197000	0.195000	0.201000	0.200000	0.196000	0.198000	0.194000	0.195000	0.198000	0.197111	0.000790
10	0.189000	0.185000	0.192000	0.191000	0.188000	0.189000	0.185000	0.186000	0.189000	0.188222	0.000830
11	0.170000	0.166000	0.171000	0.171000	0.167000	0.168000	0.165000	0.166000	0.168000	0.168000	0.000745
12	0.157000	0.153000	0.158000	0.157000	0.154000	0.155000	0.153000	0.153000	0.155000	0.155000	0.000645
13	0.133000	0.130000	0.134000	0.133000	0.131000	0.132000	0.130000	0.130000	0.131000	0.131556	0.000503
14	0.115000	0.112000	0.114000	0.115000	0.112000	0.115000	0.112000	0.113000	0.113000	0.113444	0.000444
15	0.086000	0.084000	0.084000	0.085000	0.083000	0.085000	0.084000	0.083000	0.083000	0.084111	0.000351
16	0.029000	0.028000	0.028000	0.029000	0.027000	0.028000	0.028000	0.028000	0.028000	0.028111	0.000200
