Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.208000	0.219000	0.220000	0.215000	0.234000	0.215000	0.227000	0.213000	0.230000	0.220111	0.002860
3	0.158000	0.168000	0.175000	0.163000	0.177000	0.173000	0.175000	0.165000	0.173000	0.169667	0.002167
4	0.188000	0.201000	0.206000	0.194000	0.204000	0.203000	0.210000	0.202000	0.207000	0.201667	0.002267
5	0.189000	0.201000	0.206000	0.196000	0.205000	0.203000	0.207000	0.203000	0.208000	0.202000	0.002021
6	0.200000	0.210000	0.218000	0.211000	0.217000	0.214000	0.218000	0.214000	0.219000	0.213444	0.001987
7	0.192000	0.198000	0.205000	0.205000	0.207000	0.202000	0.204000	0.206000	0.210000	0.203222	0.001786
8	0.192000	0.195000	0.202000	0.209000	0.204000	0.203000	0.203000	0.204000	0.208000	0.202222	0.001839
9	0.179000	0.177000	0.191000	0.195000	0.190000	0.187000	0.186000	0.186000	0.191000	0.186889	0.001940
10	0.173000	0.170000	0.183000	0.188000	0.182000	0.179000	0.177000	0.180000	0.179000	0.179000	0.001780
11	0.157000	0.150000	0.163000	0.171000	0.164000	0.163000	0.159000	0.160000	0.157000	0.160444	0.001944
12	0.145000	0.137000	0.151000	0.155000	0.152000	0.152000	0.146000	0.145000	0.144000	0.147444	0.001849
13	0.127000	0.118000	0.129000	0.133000	0.129000	0.133000	0.127000	0.124000	0.121000	0.126778	0.001690
14	0.110000	0.103000	0.113000	0.115000	0.113000	0.114000	0.110000	0.104000	0.102000	0.109333	0.001683
15	0.085000	0.078000	0.082000	0.084000	0.082000	0.085000	0.081000	0.081000	0.077000	0.081667	0.000943
16	0.032000	0.026000	0.027000	0.027000	0.027000	0.032000	0.028000	0.028000	0.027000	0.028222	0.000741
