Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.206000	0.215000	0.218000	0.221000	0.223000	0.227000	0.222000	0.236000	0.214000	0.220222	0.002837
3	0.171000	0.175000	0.175000	0.167000	0.171000	0.171000	0.182000	0.191000	0.173000	0.175111	0.002418
4	0.203000	0.211000	0.207000	0.197000	0.211000	0.204000	0.213000	0.223000	0.209000	0.208667	0.002438
5	0.208000	0.214000	0.205000	0.196000	0.211000	0.203000	0.207000	0.221000	0.207000	0.208000	0.002339
6	0.222000	0.222000	0.218000	0.206000	0.228000	0.213000	0.218000	0.231000	0.216000	0.219333	0.002522
7	0.209000	0.209000	0.207000	0.195000	0.221000	0.203000	0.209000	0.221000	0.202000	0.208444	0.002814
8	0.213000	0.205000	0.206000	0.197000	0.221000	0.202000	0.207000	0.223000	0.199000	0.208111	0.003053
9	0.199000	0.188000	0.192000	0.175000	0.204000	0.182000	0.187000	0.211000	0.182000	0.191111	0.003867
10	0.192000	0.179000	0.186000	0.169000	0.198000	0.172000	0.179000	0.202000	0.175000	0.183556	0.003884
11	0.177000	0.157000	0.164000	0.153000	0.173000	0.154000	0.157000	0.183000	0.159000	0.164111	0.003642
12	0.164000	0.146000	0.151000	0.143000	0.158000	0.145000	0.148000	0.173000	0.146000	0.152667	0.003408
13	0.141000	0.123000	0.132000	0.122000	0.136000	0.120000	0.126000	0.145000	0.124000	0.129889	0.003007
14	0.119000	0.105000	0.112000	0.106000	0.118000	0.104000	0.109000	0.124000	0.107000	0.111556	0.002387
15	0.091000	0.079000	0.084000	0.080000	0.088000	0.079000	0.081000	0.089000	0.080000	0.083444	0.001573
16	0.031000	0.025000	0.028000	0.027000	0.029000	0.026000	0.028000	0.027000	0.025000	0.027333	0.000645
