Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.238000	0.235000	0.231000	0.232000	0.236000	0.238000	0.233000	0.234000	0.239000	0.235111	0.000949
3	0.195000	0.191000	0.188000	0.191000	0.192000	0.193000	0.191000	0.189000	0.194000	0.191556	0.000747
4	0.227000	0.223000	0.222000	0.225000	0.223000	0.226000	0.224000	0.222000	0.227000	0.224333	0.000667
5	0.222000	0.220000	0.219000	0.221000	0.218000	0.220000	0.220000	0.217000	0.221000	0.219778	0.000521
6	0.229000	0.229000	0.226000	0.228000	0.225000	0.227000	0.227000	0.223000	0.229000	0.227000	0.000687
7	0.213000	0.215000	0.210000	0.213000	0.208000	0.210000	0.209000	0.206000	0.214000	0.210889	0.001006
8	0.207000	0.209000	0.205000	0.206000	0.203000	0.205000	0.204000	0.200000	0.209000	0.205333	0.000957
9	0.188000	0.188000	0.184000	0.186000	0.182000	0.184000	0.183000	0.178000	0.189000	0.184667	0.001167
10	0.178000	0.178000	0.174000	0.174000	0.170000	0.175000	0.173000	0.168000	0.178000	0.174222	0.001188
11	0.155000	0.155000	0.152000	0.153000	0.147000	0.154000	0.152000	0.148000	0.158000	0.152667	0.001155
12	0.143000	0.143000	0.140000	0.140000	0.135000	0.141000	0.140000	0.137000	0.145000	0.140444	0.001029
13	0.122000	0.122000	0.120000	0.119000	0.115000	0.120000	0.120000	0.116000	0.125000	0.119889	0.001020
14	0.107000	0.107000	0.104000	0.104000	0.100000	0.105000	0.105000	0.101000	0.108000	0.104556	0.000899
15	0.079000	0.080000	0.078000	0.078000	0.074000	0.078000	0.079000	0.077000	0.082000	0.078333	0.000726
16	0.028000	0.028000	0.026000	0.027000	0.025000	0.026000	0.026000	0.027000	0.028000	0.026778	0.000364
