Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.089000	0.086000	0.088000	0.088000	0.090000	0.089000	0.090000	0.086000	0.089000	0.088333	0.000500
3	0.203000	0.198000	0.202000	0.197000	0.205000	0.205000	0.201000	0.200000	0.203000	0.201556	0.000944
4	0.200000	0.196000	0.200000	0.197000	0.200000	0.203000	0.197000	0.197000	0.198000	0.198667	0.000745
5	0.211000	0.207000	0.209000	0.206000	0.210000	0.214000	0.206000	0.207000	0.208000	0.208667	0.000882
6	0.188000	0.186000	0.187000	0.185000	0.188000	0.190000	0.184000	0.185000	0.187000	0.186667	0.000624
7	0.180000	0.178000	0.179000	0.176000	0.179000	0.182000	0.176000	0.177000	0.179000	0.178444	0.000648
8	0.107000	0.104000	0.103000	0.101000	0.105000	0.106000	0.103000	0.103000	0.104000	0.104000	0.000601
9	0.066000	0.060000	0.061000	0.057000	0.064000	0.064000	0.060000	0.060000	0.061000	0.061444	0.000915
10	0.049000	0.052000	0.049000	0.054000	0.047000	0.051000	0.054000	0.048000	0.051000	0.050556	0.000835
11	0.079000	0.079000	0.079000	0.079000	0.076000	0.079000	0.083000	0.077000	0.076000	0.078556	0.000709
12	0.122000	0.120000	0.121000	0.120000	0.118000	0.120000	0.122000	0.118000	0.117000	0.119778	0.000596
13	0.127000	0.125000	0.127000	0.124000	0.124000	0.126000	0.126000	0.122000	0.122000	0.124778	0.000641
14	0.130000	0.128000	0.131000	0.127000	0.127000	0.129000	0.129000	0.125000	0.125000	0.127889	0.000696
15	0.117000	0.114000	0.116000	0.114000	0.113000	0.115000	0.115000	0.113000	0.112000	0.114333	0.000527
16	0.105000	0.103000	0.104000	0.104000	0.102000	0.103000	0.104000	0.102000	0.101000	0.103111	0.000423
17	0.079000	0.078000	0.079000	0.079000	0.078000	0.080000	0.079000	0.077000	0.078000	0.078556	0.000294
18	0.026000	0.026000	0.025000	0.026000	0.026000	0.026000	0.027000	0.024000	0.026000	0.025778	0.000278
