Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.230000	0.218000	0.218000	0.215000	0.218000	0.221000	0.217000	0.219000	0.222000	0.219778	0.001451
3	0.195000	0.171000	0.173000	0.169000	0.172000	0.172000	0.170000	0.171000	0.170000	0.173667	0.002698
4	0.224000	0.206000	0.206000	0.204000	0.208000	0.206000	0.204000	0.206000	0.204000	0.207556	0.002102
5	0.223000	0.207000	0.206000	0.206000	0.209000	0.207000	0.206000	0.207000	0.205000	0.208444	0.001857
6	0.240000	0.220000	0.219000	0.219000	0.221000	0.220000	0.219000	0.220000	0.219000	0.221889	0.002276
7	0.236000	0.212000	0.209000	0.210000	0.213000	0.211000	0.211000	0.211000	0.210000	0.213667	0.002819
8	0.230000	0.211000	0.210000	0.210000	0.212000	0.210000	0.210000	0.209000	0.209000	0.212333	0.002230
9	0.215000	0.195000	0.192000	0.194000	0.194000	0.193000	0.195000	0.194000	0.192000	0.196000	0.002404
10	0.209000	0.186000	0.183000	0.186000	0.186000	0.186000	0.189000	0.184000	0.184000	0.188111	0.002674
11	0.176000	0.166000	0.163000	0.167000	0.165000	0.166000	0.167000	0.162000	0.163000	0.166111	0.001379
12	0.164000	0.153000	0.153000	0.153000	0.152000	0.152000	0.155000	0.149000	0.151000	0.153556	0.001415
13	0.150000	0.130000	0.130000	0.131000	0.129000	0.129000	0.133000	0.128000	0.131000	0.132333	0.002261
14	0.143000	0.112000	0.116000	0.113000	0.111000	0.110000	0.116000	0.110000	0.112000	0.115889	0.003470
15	0.095000	0.085000	0.089000	0.084000	0.080000	0.080000	0.087000	0.085000	0.087000	0.085778	0.001535
16	0.064000	0.034000	0.047000	0.028000	0.026000	0.027000	0.043000	0.045000	0.033000	0.038556	0.004140
