Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.075000	0.096000	0.113000	0.094000	0.092000	0.094000	0.080000	0.095000	0.092000	0.092333	0.003547
3	0.197000	0.215000	0.225000	0.207000	0.207000	0.208000	0.185000	0.196000	0.202000	0.204667	0.003855
4	0.195000	0.212000	0.222000	0.205000	0.206000	0.207000	0.184000	0.190000	0.205000	0.202889	0.003853
5	0.202000	0.220000	0.231000	0.214000	0.216000	0.216000	0.189000	0.197000	0.216000	0.211222	0.004291
6	0.175000	0.198000	0.202000	0.190000	0.192000	0.193000	0.173000	0.172000	0.195000	0.187778	0.003800
7	0.162000	0.189000	0.195000	0.181000	0.183000	0.185000	0.163000	0.160000	0.183000	0.177889	0.004286
8	0.097000	0.110000	0.113000	0.106000	0.106000	0.109000	0.096000	0.093000	0.103000	0.103667	0.002309
9	0.057000	0.064000	0.065000	0.061000	0.060000	0.077000	0.050000	0.044000	0.051000	0.058778	0.003257
10	0.042000	0.043000	0.047000	0.048000	0.053000	0.057000	0.047000	0.050000	0.051000	0.048667	0.001572
11	0.068000	0.071000	0.075000	0.077000	0.082000	0.087000	0.075000	0.080000	0.083000	0.077556	0.002015
12	0.106000	0.113000	0.122000	0.118000	0.123000	0.126000	0.110000	0.113000	0.119000	0.116667	0.002198
13	0.111000	0.115000	0.126000	0.122000	0.128000	0.136000	0.115000	0.119000	0.123000	0.121667	0.002571
14	0.117000	0.121000	0.129000	0.127000	0.132000	0.138000	0.118000	0.121000	0.129000	0.125778	0.002338
15	0.105000	0.110000	0.120000	0.115000	0.119000	0.136000	0.103000	0.110000	0.122000	0.115556	0.003379
16	0.095000	0.101000	0.110000	0.109000	0.108000	0.119000	0.094000	0.098000	0.112000	0.105111	0.002840
17	0.078000	0.081000	0.086000	0.081000	0.086000	0.092000	0.073000	0.074000	0.086000	0.081889	0.002078
18	0.026000	0.027000	0.028000	0.032000	0.050000	0.047000	0.023000	0.025000	0.029000	0.031889	0.003259
