Carbon	SCD_traj1_bloc3	SCD_traj1_bloc4	SCD_traj1_bloc5	SCD_traj2_bloc3	SCD_traj2_bloc4	SCD_traj2_bloc5	SCD_traj3_bloc3	SCD_traj3_bloc4	SCD_traj3_bloc5	scd_mean	se
2	0.217000	0.216000	0.219000	0.223000	0.220000	0.219000	0.229000	0.223000	0.224000	0.221111	0.001348
3	0.169000	0.172000	0.172000	0.174000	0.171000	0.170000	0.178000	0.173000	0.174000	0.172556	0.000884
4	0.196000	0.196000	0.198000	0.201000	0.197000	0.197000	0.204000	0.200000	0.201000	0.198889	0.000920
5	0.191000	0.191000	0.193000	0.196000	0.192000	0.192000	0.199000	0.197000	0.196000	0.194111	0.000978
6	0.197000	0.198000	0.198000	0.202000	0.199000	0.199000	0.205000	0.204000	0.204000	0.200667	0.001027
7	0.184000	0.183000	0.183000	0.187000	0.185000	0.187000	0.190000	0.191000	0.190000	0.186667	0.001041
8	0.179000	0.178000	0.180000	0.182000	0.182000	0.181000	0.184000	0.188000	0.186000	0.182222	0.001090
9	0.163000	0.161000	0.160000	0.165000	0.165000	0.163000	0.166000	0.169000	0.168000	0.164444	0.001002
10	0.153000	0.153000	0.152000	0.155000	0.155000	0.155000	0.157000	0.161000	0.159000	0.155556	0.000988
11	0.136000	0.134000	0.132000	0.137000	0.138000	0.137000	0.138000	0.142000	0.140000	0.137111	0.000992
12	0.126000	0.124000	0.122000	0.126000	0.127000	0.126000	0.128000	0.130000	0.130000	0.126556	0.000868
13	0.109000	0.106000	0.105000	0.108000	0.109000	0.109000	0.109000	0.113000	0.114000	0.109111	0.000964
14	0.095000	0.094000	0.091000	0.096000	0.096000	0.095000	0.096000	0.099000	0.100000	0.095778	0.000878
15	0.074000	0.071000	0.070000	0.074000	0.073000	0.072000	0.073000	0.075000	0.076000	0.073111	0.000633
16	0.025000	0.024000	0.024000	0.025000	0.025000	0.024000	0.025000	0.025000	0.027000	0.024889	0.000309
