Carbon	SCD_traj1_bloc3	SCD_traj1_bloc4	SCD_traj1_bloc5	SCD_traj2_bloc3	SCD_traj2_bloc4	SCD_traj2_bloc5	SCD_traj3_bloc3	SCD_traj3_bloc4	SCD_traj3_bloc5	scd_mean	se
2	0.224000	0.226000	0.218000	0.225000	0.229000	0.225000	0.216000	0.220000	0.222000	0.222778	0.001382
3	0.174000	0.174000	0.173000	0.176000	0.175000	0.173000	0.169000	0.172000	0.176000	0.173556	0.000729
4	0.203000	0.204000	0.202000	0.205000	0.202000	0.201000	0.198000	0.202000	0.204000	0.202333	0.000687
5	0.201000	0.201000	0.202000	0.204000	0.199000	0.200000	0.197000	0.201000	0.200000	0.200556	0.000648
6	0.211000	0.211000	0.211000	0.212000	0.210000	0.208000	0.207000	0.209000	0.210000	0.209889	0.000539
7	0.201000	0.199000	0.201000	0.200000	0.197000	0.196000	0.194000	0.196000	0.196000	0.197778	0.000846
8	0.197000	0.196000	0.199000	0.198000	0.195000	0.193000	0.194000	0.194000	0.194000	0.195556	0.000689
9	0.181000	0.179000	0.182000	0.180000	0.180000	0.177000	0.173000	0.176000	0.176000	0.178222	0.000969
10	0.173000	0.172000	0.173000	0.172000	0.172000	0.168000	0.165000	0.168000	0.165000	0.169778	0.001103
11	0.153000	0.153000	0.153000	0.151000	0.155000	0.149000	0.146000	0.148000	0.145000	0.150333	0.001167
12	0.142000	0.146000	0.142000	0.142000	0.147000	0.138000	0.134000	0.138000	0.134000	0.140333	0.001563
13	0.122000	0.123000	0.123000	0.120000	0.127000	0.129000	0.114000	0.118000	0.116000	0.121333	0.001633
14	0.106000	0.109000	0.106000	0.105000	0.114000	0.107000	0.099000	0.106000	0.100000	0.105778	0.001489
15	0.081000	0.089000	0.080000	0.081000	0.083000	0.101000	0.079000	0.084000	0.100000	0.086444	0.002829
16	0.032000	0.051000	0.030000	0.035000	0.040000	0.072000	0.040000	0.046000	0.047000	0.043667	0.004246
