Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.111000	0.109000	0.102000	0.107000	0.102000	0.107000	0.111000	0.103000	0.111000	0.107000	0.001280
3	0.220000	0.221000	0.219000	0.220000	0.219000	0.222000	0.220000	0.219000	0.220000	0.220000	0.000333
4	0.224000	0.226000	0.222000	0.222000	0.223000	0.227000	0.224000	0.224000	0.224000	0.224000	0.000553
5	0.235000	0.236000	0.233000	0.234000	0.234000	0.237000	0.236000	0.234000	0.236000	0.235000	0.000441
6	0.212000	0.212000	0.211000	0.212000	0.211000	0.213000	0.214000	0.210000	0.213000	0.212000	0.000408
7	0.200000	0.201000	0.199000	0.200000	0.199000	0.202000	0.202000	0.199000	0.201000	0.200333	0.000408
8	0.120000	0.119000	0.119000	0.120000	0.118000	0.122000	0.119000	0.119000	0.120000	0.119556	0.000377
9	0.080000	0.078000	0.081000	0.079000	0.079000	0.080000	0.077000	0.080000	0.080000	0.079333	0.000408
10	0.044000	0.042000	0.045000	0.046000	0.045000	0.043000	0.045000	0.039000	0.043000	0.043556	0.000709
11	0.069000	0.069000	0.070000	0.071000	0.072000	0.070000	0.073000	0.068000	0.068000	0.070000	0.000577
12	0.111000	0.111000	0.113000	0.112000	0.114000	0.113000	0.114000	0.109000	0.111000	0.112000	0.000553
13	0.115000	0.115000	0.117000	0.116000	0.118000	0.116000	0.118000	0.112000	0.115000	0.115778	0.000619
14	0.120000	0.121000	0.122000	0.121000	0.122000	0.120000	0.124000	0.117000	0.121000	0.120889	0.000633
15	0.109000	0.109000	0.110000	0.108000	0.108000	0.108000	0.111000	0.105000	0.109000	0.108556	0.000556
16	0.099000	0.100000	0.102000	0.099000	0.100000	0.099000	0.100000	0.096000	0.100000	0.099444	0.000530
17	0.076000	0.078000	0.079000	0.077000	0.077000	0.077000	0.078000	0.075000	0.078000	0.077222	0.000401
18	0.027000	0.027000	0.027000	0.027000	0.027000	0.026000	0.027000	0.026000	0.027000	0.026778	0.000147
