Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.095000	0.097000	0.096000	0.095000	0.094000	0.095000	0.099000	0.099000	0.095000	0.096111	0.000611
3	0.203000	0.207000	0.207000	0.202000	0.201000	0.205000	0.207000	0.207000	0.207000	0.205111	0.000824
4	0.201000	0.203000	0.204000	0.199000	0.197000	0.202000	0.207000	0.205000	0.203000	0.202333	0.001014
5	0.210000	0.211000	0.211000	0.207000	0.205000	0.209000	0.214000	0.213000	0.212000	0.210222	0.000954
6	0.187000	0.185000	0.186000	0.181000	0.182000	0.184000	0.189000	0.187000	0.186000	0.185222	0.000846
7	0.176000	0.176000	0.176000	0.171000	0.172000	0.174000	0.178000	0.178000	0.177000	0.175333	0.000833
8	0.103000	0.101000	0.104000	0.100000	0.099000	0.101000	0.104000	0.102000	0.101000	0.101667	0.000577
9	0.063000	0.060000	0.063000	0.057000	0.060000	0.059000	0.063000	0.060000	0.060000	0.060556	0.000689
10	0.038000	0.042000	0.036000	0.043000	0.040000	0.043000	0.037000	0.043000	0.043000	0.040556	0.000959
11	0.065000	0.064000	0.063000	0.064000	0.064000	0.067000	0.062000	0.065000	0.067000	0.064556	0.000556
12	0.104000	0.099000	0.101000	0.099000	0.100000	0.104000	0.100000	0.102000	0.103000	0.101333	0.000667
13	0.108000	0.104000	0.105000	0.104000	0.105000	0.108000	0.105000	0.107000	0.107000	0.105889	0.000539
14	0.112000	0.109000	0.110000	0.109000	0.109000	0.113000	0.109000	0.111000	0.112000	0.110444	0.000530
15	0.102000	0.099000	0.100000	0.099000	0.097000	0.102000	0.100000	0.099000	0.102000	0.100000	0.000577
16	0.093000	0.091000	0.091000	0.091000	0.089000	0.093000	0.091000	0.091000	0.093000	0.091444	0.000444
17	0.073000	0.071000	0.073000	0.072000	0.070000	0.073000	0.073000	0.071000	0.072000	0.072000	0.000373
18	0.024000	0.024000	0.025000	0.024000	0.024000	0.025000	0.025000	0.024000	0.024000	0.024333	0.000167
