Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.091000	0.091000	0.093000	0.094000	0.089000	0.097000	0.095000	0.094000	0.095000	0.093222	0.000830
3	0.204000	0.206000	0.207000	0.203000	0.204000	0.207000	0.204000	0.205000	0.204000	0.204889	0.000484
4	0.201000	0.202000	0.203000	0.199000	0.199000	0.201000	0.201000	0.202000	0.199000	0.200778	0.000494
5	0.210000	0.211000	0.212000	0.207000	0.207000	0.211000	0.209000	0.211000	0.207000	0.209444	0.000669
6	0.186000	0.187000	0.189000	0.184000	0.183000	0.188000	0.186000	0.187000	0.184000	0.186000	0.000667
7	0.176000	0.178000	0.180000	0.175000	0.174000	0.178000	0.177000	0.178000	0.175000	0.176778	0.000641
8	0.101000	0.102000	0.101000	0.098000	0.100000	0.102000	0.102000	0.102000	0.100000	0.100889	0.000455
9	0.058000	0.056000	0.057000	0.054000	0.057000	0.058000	0.058000	0.059000	0.055000	0.056889	0.000539
10	0.048000	0.051000	0.050000	0.050000	0.049000	0.048000	0.046000	0.049000	0.045000	0.048444	0.000648
11	0.074000	0.077000	0.080000	0.080000	0.074000	0.075000	0.075000	0.075000	0.075000	0.076111	0.000790
12	0.114000	0.117000	0.120000	0.120000	0.113000	0.117000	0.115000	0.113000	0.114000	0.115889	0.000920
13	0.120000	0.122000	0.126000	0.125000	0.120000	0.123000	0.120000	0.118000	0.120000	0.121556	0.000884
14	0.123000	0.127000	0.131000	0.129000	0.125000	0.128000	0.124000	0.122000	0.125000	0.126000	0.000986
15	0.111000	0.115000	0.117000	0.117000	0.114000	0.116000	0.112000	0.110000	0.113000	0.113889	0.000857
16	0.101000	0.103000	0.105000	0.105000	0.102000	0.104000	0.102000	0.099000	0.103000	0.102667	0.000645
17	0.077000	0.079000	0.082000	0.081000	0.078000	0.081000	0.080000	0.076000	0.080000	0.079333	0.000667
18	0.025000	0.026000	0.027000	0.027000	0.027000	0.027000	0.026000	0.025000	0.026000	0.026222	0.000278
