Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.220000	0.222000	0.225000	0.226000	0.225000	0.212000	0.230000	0.218000	0.212000	0.221111	0.002078
3	0.177000	0.165000	0.178000	0.175000	0.173000	0.158000	0.179000	0.170000	0.170000	0.171667	0.002273
4	0.201000	0.186000	0.205000	0.199000	0.198000	0.182000	0.207000	0.192000	0.193000	0.195889	0.002791
5	0.204000	0.189000	0.198000	0.199000	0.199000	0.180000	0.203000	0.188000	0.195000	0.195000	0.002625
6	0.211000	0.199000	0.204000	0.206000	0.209000	0.192000	0.214000	0.200000	0.201000	0.204000	0.002273
7	0.201000	0.188000	0.190000	0.195000	0.196000	0.179000	0.203000	0.193000	0.190000	0.192778	0.002402
8	0.199000	0.185000	0.183000	0.195000	0.190000	0.176000	0.199000	0.190000	0.187000	0.189333	0.002533
9	0.183000	0.166000	0.163000	0.175000	0.172000	0.156000	0.192000	0.178000	0.168000	0.172556	0.003637
10	0.174000	0.159000	0.150000	0.166000	0.160000	0.149000	0.181000	0.168000	0.158000	0.162778	0.003523
11	0.156000	0.144000	0.133000	0.145000	0.139000	0.130000	0.166000	0.150000	0.143000	0.145111	0.003721
12	0.141000	0.130000	0.119000	0.134000	0.131000	0.121000	0.149000	0.139000	0.133000	0.133000	0.003140
13	0.124000	0.112000	0.101000	0.111000	0.114000	0.103000	0.132000	0.120000	0.114000	0.114556	0.003249
14	0.108000	0.098000	0.089000	0.099000	0.099000	0.089000	0.115000	0.105000	0.099000	0.100111	0.002796
15	0.081000	0.071000	0.065000	0.073000	0.078000	0.068000	0.088000	0.080000	0.074000	0.075333	0.002380
16	0.028000	0.024000	0.022000	0.022000	0.027000	0.025000	0.030000	0.027000	0.022000	0.025222	0.000983
