Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.219000	0.220000	0.221000	0.225000	0.218000	0.220000	0.222000	0.222000	0.219000	0.220667	0.000707
3	0.173000	0.171000	0.171000	0.175000	0.172000	0.167000	0.171000	0.172000	0.169000	0.171222	0.000760
4	0.206000	0.203000	0.201000	0.205000	0.203000	0.198000	0.203000	0.204000	0.201000	0.202667	0.000799
5	0.207000	0.203000	0.200000	0.206000	0.203000	0.198000	0.204000	0.202000	0.200000	0.202556	0.000973
6	0.218000	0.215000	0.211000	0.216000	0.213000	0.211000	0.215000	0.215000	0.212000	0.214000	0.000799
7	0.208000	0.205000	0.199000	0.206000	0.202000	0.201000	0.206000	0.204000	0.202000	0.203667	0.000957
8	0.206000	0.204000	0.196000	0.204000	0.200000	0.200000	0.206000	0.201000	0.200000	0.201889	0.001111
9	0.189000	0.187000	0.179000	0.189000	0.184000	0.183000	0.189000	0.185000	0.185000	0.185556	0.001119
10	0.181000	0.179000	0.171000	0.182000	0.177000	0.175000	0.180000	0.176000	0.176000	0.177444	0.001144
11	0.162000	0.158000	0.151000	0.162000	0.157000	0.156000	0.161000	0.156000	0.157000	0.157778	0.001176
12	0.150000	0.147000	0.139000	0.150000	0.145000	0.143000	0.150000	0.145000	0.146000	0.146111	0.001230
13	0.128000	0.126000	0.119000	0.128000	0.124000	0.122000	0.128000	0.125000	0.125000	0.125000	0.001014
14	0.112000	0.108000	0.104000	0.111000	0.108000	0.107000	0.112000	0.109000	0.110000	0.109000	0.000866
15	0.084000	0.082000	0.079000	0.083000	0.080000	0.080000	0.084000	0.083000	0.082000	0.081889	0.000611
16	0.028000	0.028000	0.027000	0.028000	0.027000	0.027000	0.028000	0.028000	0.028000	0.027667	0.000167
