Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.095000	0.095000	0.094000	0.093000	0.095000	0.095000	0.091000	0.094000	0.095000	0.094111	0.000455
3	0.204000	0.205000	0.201000	0.202000	0.199000	0.209000	0.202000	0.205000	0.202000	0.203222	0.000969
4	0.199000	0.201000	0.199000	0.198000	0.197000	0.205000	0.197000	0.202000	0.197000	0.199444	0.000915
5	0.206000	0.208000	0.207000	0.208000	0.205000	0.214000	0.205000	0.210000	0.206000	0.207667	0.000957
6	0.182000	0.183000	0.183000	0.184000	0.180000	0.189000	0.181000	0.185000	0.181000	0.183111	0.000904
7	0.172000	0.173000	0.173000	0.174000	0.171000	0.180000	0.172000	0.177000	0.171000	0.173667	0.001000
8	0.098000	0.100000	0.101000	0.101000	0.098000	0.105000	0.099000	0.101000	0.098000	0.100111	0.000754
9	0.056000	0.057000	0.058000	0.058000	0.055000	0.062000	0.059000	0.057000	0.056000	0.057556	0.000689
10	0.042000	0.041000	0.040000	0.044000	0.043000	0.040000	0.041000	0.045000	0.045000	0.042333	0.000667
11	0.069000	0.065000	0.066000	0.069000	0.069000	0.069000	0.067000	0.072000	0.070000	0.068444	0.000709
12	0.107000	0.104000	0.104000	0.106000	0.106000	0.109000	0.104000	0.109000	0.108000	0.106333	0.000687
13	0.112000	0.110000	0.110000	0.110000	0.111000	0.113000	0.109000	0.114000	0.112000	0.111222	0.000547
14	0.116000	0.114000	0.115000	0.114000	0.116000	0.117000	0.114000	0.119000	0.117000	0.115778	0.000572
15	0.105000	0.103000	0.104000	0.102000	0.104000	0.106000	0.104000	0.108000	0.106000	0.104667	0.000601
16	0.097000	0.094000	0.095000	0.093000	0.095000	0.098000	0.096000	0.098000	0.098000	0.096000	0.000624
17	0.075000	0.074000	0.075000	0.073000	0.075000	0.077000	0.075000	0.076000	0.077000	0.075222	0.000434
18	0.024000	0.024000	0.025000	0.025000	0.025000	0.026000	0.025000	0.025000	0.025000	0.024889	0.000200
