Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.086000	0.087000	0.097000	0.112000	0.094000	0.096000	0.098000	0.094000	0.097000	0.095667	0.002500
3	0.197000	0.199000	0.220000	0.223000	0.206000	0.205000	0.210000	0.201000	0.205000	0.207333	0.002986
4	0.197000	0.195000	0.217000	0.221000	0.205000	0.201000	0.205000	0.197000	0.204000	0.204667	0.002991
5	0.203000	0.204000	0.227000	0.220000	0.213000	0.210000	0.213000	0.205000	0.210000	0.211667	0.002614
6	0.181000	0.182000	0.201000	0.209000	0.188000	0.185000	0.189000	0.181000	0.185000	0.189000	0.003236
7	0.173000	0.172000	0.190000	0.193000	0.179000	0.175000	0.178000	0.175000	0.177000	0.179111	0.002469
8	0.096000	0.098000	0.109000	0.117000	0.102000	0.101000	0.102000	0.102000	0.101000	0.103111	0.002098
9	0.053000	0.057000	0.063000	0.101000	0.056000	0.057000	0.058000	0.057000	0.059000	0.062333	0.004913
10	0.049000	0.042000	0.048000	0.091000	0.048000	0.041000	0.048000	0.046000	0.045000	0.050889	0.005100
11	0.078000	0.066000	0.068000	0.109000	0.075000	0.070000	0.076000	0.073000	0.072000	0.076333	0.004278
12	0.112000	0.100000	0.107000	0.138000	0.114000	0.109000	0.117000	0.117000	0.111000	0.113889	0.003490
13	0.115000	0.104000	0.113000	0.139000	0.120000	0.116000	0.120000	0.118000	0.117000	0.118000	0.003082
14	0.119000	0.108000	0.116000	0.146000	0.128000	0.121000	0.126000	0.126000	0.122000	0.123556	0.003465
15	0.107000	0.096000	0.104000	0.141000	0.114000	0.111000	0.116000	0.110000	0.116000	0.112778	0.004119
16	0.099000	0.088000	0.096000	0.127000	0.106000	0.101000	0.105000	0.100000	0.101000	0.102556	0.003524
17	0.077000	0.073000	0.073000	0.108000	0.087000	0.082000	0.086000	0.085000	0.084000	0.083889	0.003506
18	0.027000	0.025000	0.023000	0.078000	0.055000	0.032000	0.041000	0.037000	0.041000	0.039889	0.005806
