Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.099000	0.084000	0.082000	0.099000	0.100000	0.097000	0.095000	0.096000	0.095000	0.094111	0.002189
3	0.199000	0.212000	0.205000	0.216000	0.204000	0.202000	0.205000	0.209000	0.212000	0.207111	0.001829
4	0.197000	0.208000	0.198000	0.206000	0.201000	0.200000	0.201000	0.205000	0.211000	0.203000	0.001581
5	0.212000	0.216000	0.215000	0.218000	0.212000	0.210000	0.211000	0.213000	0.220000	0.214111	0.001124
6	0.193000	0.196000	0.193000	0.194000	0.192000	0.182000	0.188000	0.188000	0.194000	0.191111	0.001448
7	0.185000	0.187000	0.185000	0.184000	0.181000	0.174000	0.176000	0.179000	0.186000	0.181889	0.001550
8	0.106000	0.104000	0.108000	0.110000	0.108000	0.104000	0.096000	0.099000	0.108000	0.104778	0.001544
9	0.066000	0.058000	0.063000	0.063000	0.069000	0.065000	0.051000	0.057000	0.065000	0.061889	0.001852
10	0.057000	0.056000	0.054000	0.051000	0.036000	0.043000	0.037000	0.051000	0.042000	0.047444	0.002693
11	0.076000	0.088000	0.082000	0.082000	0.063000	0.071000	0.070000	0.085000	0.074000	0.076778	0.002702
12	0.120000	0.128000	0.123000	0.120000	0.108000	0.107000	0.110000	0.127000	0.111000	0.117111	0.002741
13	0.125000	0.133000	0.126000	0.129000	0.111000	0.112000	0.117000	0.132000	0.118000	0.122556	0.002774
14	0.127000	0.135000	0.130000	0.134000	0.115000	0.115000	0.118000	0.138000	0.128000	0.126667	0.002915
15	0.114000	0.123000	0.118000	0.122000	0.106000	0.104000	0.107000	0.121000	0.115000	0.114444	0.002422
16	0.105000	0.109000	0.107000	0.111000	0.093000	0.094000	0.098000	0.106000	0.103000	0.102889	0.002157
17	0.079000	0.078000	0.080000	0.081000	0.072000	0.068000	0.078000	0.081000	0.080000	0.077444	0.001492
18	0.026000	0.025000	0.025000	0.027000	0.024000	0.025000	0.024000	0.026000	0.026000	0.025333	0.000333
