Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.083000	0.099000	0.087000	0.092000	0.100000	0.097000	0.097000	0.094000	0.088000	0.093000	0.001972
3	0.188000	0.211000	0.208000	0.214000	0.212000	0.196000	0.202000	0.205000	0.204000	0.204444	0.002769
4	0.186000	0.210000	0.207000	0.211000	0.212000	0.189000	0.205000	0.205000	0.201000	0.202889	0.003133
5	0.194000	0.215000	0.219000	0.223000	0.220000	0.194000	0.215000	0.211000	0.208000	0.211000	0.003551
6	0.170000	0.190000	0.194000	0.197000	0.197000	0.172000	0.187000	0.184000	0.181000	0.185778	0.003341
7	0.164000	0.180000	0.186000	0.190000	0.184000	0.161000	0.174000	0.173000	0.172000	0.176000	0.003279
8	0.092000	0.099000	0.104000	0.112000	0.104000	0.091000	0.098000	0.096000	0.097000	0.099222	0.002191
9	0.055000	0.050000	0.056000	0.060000	0.060000	0.044000	0.057000	0.055000	0.051000	0.054222	0.001714
10	0.036000	0.048000	0.048000	0.051000	0.044000	0.036000	0.052000	0.046000	0.043000	0.044889	0.001940
11	0.067000	0.077000	0.076000	0.083000	0.069000	0.073000	0.077000	0.072000	0.072000	0.074000	0.001607
12	0.110000	0.116000	0.116000	0.127000	0.109000	0.110000	0.123000	0.110000	0.105000	0.114000	0.002392
13	0.115000	0.126000	0.122000	0.134000	0.118000	0.113000	0.126000	0.118000	0.113000	0.120556	0.002358
14	0.118000	0.134000	0.127000	0.139000	0.123000	0.115000	0.130000	0.122000	0.119000	0.125222	0.002645
15	0.108000	0.123000	0.116000	0.127000	0.113000	0.103000	0.120000	0.112000	0.110000	0.114667	0.002539
16	0.097000	0.111000	0.102000	0.114000	0.104000	0.092000	0.106000	0.100000	0.100000	0.102889	0.002270
17	0.079000	0.087000	0.078000	0.087000	0.082000	0.071000	0.083000	0.079000	0.077000	0.080333	0.001691
18	0.027000	0.029000	0.026000	0.028000	0.028000	0.022000	0.028000	0.028000	0.026000	0.026889	0.000696
