Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.095000	0.094000	0.092000	0.093000	0.096000	0.094000	0.096000	0.097000	0.092000	0.094333	0.000601
3	0.206000	0.203000	0.204000	0.203000	0.204000	0.202000	0.205000	0.205000	0.201000	0.203667	0.000527
4	0.203000	0.198000	0.200000	0.200000	0.199000	0.199000	0.202000	0.201000	0.197000	0.199889	0.000633
5	0.209000	0.206000	0.210000	0.208000	0.206000	0.206000	0.210000	0.208000	0.205000	0.207556	0.000626
6	0.184000	0.181000	0.184000	0.182000	0.181000	0.180000	0.187000	0.183000	0.181000	0.182556	0.000729
7	0.174000	0.172000	0.175000	0.172000	0.172000	0.170000	0.177000	0.174000	0.171000	0.173000	0.000726
8	0.100000	0.101000	0.103000	0.099000	0.098000	0.098000	0.103000	0.099000	0.099000	0.100000	0.000645
9	0.057000	0.060000	0.061000	0.058000	0.057000	0.057000	0.061000	0.057000	0.058000	0.058444	0.000580
10	0.037000	0.040000	0.039000	0.036000	0.041000	0.038000	0.038000	0.037000	0.034000	0.037778	0.000703
11	0.060000	0.062000	0.064000	0.063000	0.064000	0.060000	0.065000	0.061000	0.059000	0.062000	0.000707
12	0.097000	0.097000	0.101000	0.098000	0.100000	0.094000	0.104000	0.096000	0.094000	0.097889	0.001099
13	0.102000	0.102000	0.107000	0.103000	0.104000	0.097000	0.108000	0.101000	0.098000	0.102444	0.001215
14	0.106000	0.106000	0.110000	0.107000	0.108000	0.101000	0.112000	0.105000	0.101000	0.106222	0.001222
15	0.097000	0.096000	0.100000	0.097000	0.097000	0.092000	0.102000	0.095000	0.092000	0.096444	0.001094
16	0.089000	0.088000	0.092000	0.087000	0.088000	0.085000	0.092000	0.088000	0.084000	0.088111	0.000904
17	0.070000	0.069000	0.073000	0.070000	0.070000	0.066000	0.072000	0.069000	0.066000	0.069444	0.000784
18	0.023000	0.024000	0.025000	0.024000	0.024000	0.022000	0.024000	0.023000	0.022000	0.023444	0.000338
