Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.222000	0.224000	0.226000	0.216000	0.218000	0.216000	0.218000	0.226000	0.213000	0.219889	0.001585
3	0.172000	0.177000	0.176000	0.169000	0.172000	0.170000	0.169000	0.168000	0.174000	0.171889	0.001073
4	0.199000	0.205000	0.202000	0.198000	0.200000	0.198000	0.195000	0.192000	0.199000	0.198667	0.001247
5	0.195000	0.202000	0.200000	0.194000	0.198000	0.195000	0.188000	0.185000	0.198000	0.195000	0.001833
6	0.203000	0.210000	0.209000	0.203000	0.208000	0.203000	0.193000	0.194000	0.208000	0.203444	0.002089
7	0.191000	0.198000	0.196000	0.191000	0.196000	0.191000	0.175000	0.183000	0.201000	0.191333	0.002682
8	0.188000	0.194000	0.193000	0.188000	0.193000	0.185000	0.174000	0.182000	0.196000	0.188111	0.002330
9	0.171000	0.177000	0.175000	0.172000	0.174000	0.167000	0.161000	0.166000	0.178000	0.171222	0.001869
10	0.162000	0.168000	0.166000	0.163000	0.165000	0.158000	0.153000	0.161000	0.167000	0.162556	0.001591
11	0.143000	0.149000	0.146000	0.145000	0.145000	0.141000	0.137000	0.143000	0.152000	0.144556	0.001454
12	0.132000	0.137000	0.135000	0.134000	0.133000	0.130000	0.129000	0.132000	0.143000	0.133889	0.001399
13	0.114000	0.116000	0.116000	0.116000	0.113000	0.112000	0.109000	0.113000	0.124000	0.114778	0.001382
14	0.100000	0.101000	0.102000	0.102000	0.098000	0.097000	0.098000	0.094000	0.107000	0.099889	0.001241
15	0.076000	0.076000	0.077000	0.078000	0.073000	0.074000	0.075000	0.074000	0.081000	0.076000	0.000816
16	0.026000	0.025000	0.026000	0.026000	0.025000	0.025000	0.025000	0.027000	0.026000	0.025667	0.000236
