Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.218000	0.220000	0.225000	0.224000	0.218000	0.224000	0.222000	0.222000	0.223000	0.221778	0.000862
3	0.170000	0.169000	0.178000	0.175000	0.168000	0.177000	0.171000	0.171000	0.173000	0.172444	0.001180
4	0.202000	0.199000	0.209000	0.206000	0.201000	0.209000	0.204000	0.202000	0.204000	0.204000	0.001155
5	0.201000	0.199000	0.210000	0.208000	0.201000	0.210000	0.203000	0.200000	0.205000	0.204111	0.001438
6	0.213000	0.212000	0.222000	0.219000	0.213000	0.221000	0.216000	0.212000	0.216000	0.216000	0.001291
7	0.204000	0.204000	0.213000	0.208000	0.202000	0.212000	0.206000	0.202000	0.205000	0.206222	0.001341
8	0.203000	0.203000	0.212000	0.207000	0.201000	0.211000	0.204000	0.200000	0.203000	0.204889	0.001409
9	0.187000	0.187000	0.196000	0.189000	0.185000	0.195000	0.187000	0.185000	0.188000	0.188778	0.001341
10	0.178000	0.180000	0.188000	0.182000	0.178000	0.186000	0.179000	0.176000	0.179000	0.180667	0.001323
11	0.158000	0.160000	0.168000	0.162000	0.160000	0.167000	0.159000	0.157000	0.160000	0.161222	0.001278
12	0.145000	0.148000	0.156000	0.150000	0.148000	0.154000	0.148000	0.145000	0.149000	0.149222	0.001234
13	0.124000	0.127000	0.134000	0.129000	0.127000	0.132000	0.127000	0.125000	0.128000	0.128111	0.001060
14	0.108000	0.111000	0.117000	0.112000	0.111000	0.115000	0.111000	0.110000	0.111000	0.111778	0.000894
15	0.081000	0.083000	0.087000	0.085000	0.083000	0.086000	0.083000	0.082000	0.084000	0.083778	0.000641
16	0.027000	0.028000	0.030000	0.029000	0.028000	0.029000	0.028000	0.027000	0.029000	0.028333	0.000333
