Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.222000	0.217000	0.223000	0.220000	0.220000	0.221000	0.218000	0.217000	0.218000	0.219556	0.000729
3	0.171000	0.171000	0.173000	0.169000	0.170000	0.171000	0.171000	0.169000	0.170000	0.170556	0.000412
4	0.206000	0.206000	0.208000	0.204000	0.204000	0.206000	0.206000	0.204000	0.202000	0.205111	0.000588
5	0.207000	0.206000	0.208000	0.205000	0.204000	0.205000	0.207000	0.204000	0.202000	0.205333	0.000624
6	0.220000	0.219000	0.221000	0.219000	0.218000	0.217000	0.220000	0.218000	0.214000	0.218444	0.000689
7	0.210000	0.211000	0.209000	0.210000	0.209000	0.208000	0.211000	0.209000	0.204000	0.209000	0.000707
8	0.209000	0.210000	0.209000	0.210000	0.207000	0.207000	0.210000	0.209000	0.204000	0.208333	0.000667
9	0.192000	0.193000	0.192000	0.195000	0.192000	0.190000	0.195000	0.193000	0.185000	0.191889	0.001006
10	0.184000	0.186000	0.184000	0.186000	0.184000	0.182000	0.186000	0.186000	0.177000	0.183889	0.000978
11	0.164000	0.165000	0.164000	0.165000	0.163000	0.161000	0.164000	0.165000	0.158000	0.163222	0.000778
12	0.151000	0.151000	0.150000	0.153000	0.149000	0.150000	0.151000	0.151000	0.145000	0.150111	0.000735
13	0.128000	0.129000	0.127000	0.130000	0.126000	0.127000	0.128000	0.129000	0.122000	0.127333	0.000782
14	0.109000	0.111000	0.110000	0.111000	0.108000	0.109000	0.110000	0.111000	0.105000	0.109333	0.000645
15	0.082000	0.081000	0.081000	0.083000	0.082000	0.080000	0.081000	0.083000	0.079000	0.081333	0.000441
16	0.028000	0.027000	0.027000	0.027000	0.027000	0.026000	0.027000	0.027000	0.027000	0.027000	0.000167
