Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.101000	0.100000	0.104000	0.100000	0.099000	0.100000	0.098000	0.099000	0.102000	0.100333	0.000601
3	0.207000	0.207000	0.206000	0.205000	0.205000	0.206000	0.211000	0.208000	0.209000	0.207111	0.000655
4	0.202000	0.202000	0.202000	0.203000	0.202000	0.204000	0.206000	0.203000	0.203000	0.203000	0.000441
5	0.209000	0.209000	0.208000	0.209000	0.207000	0.210000	0.211000	0.209000	0.210000	0.209111	0.000389
6	0.184000	0.182000	0.183000	0.182000	0.182000	0.185000	0.185000	0.183000	0.183000	0.183222	0.000401
7	0.172000	0.172000	0.174000	0.171000	0.172000	0.174000	0.173000	0.172000	0.173000	0.172556	0.000338
8	0.102000	0.099000	0.099000	0.099000	0.097000	0.103000	0.100000	0.099000	0.100000	0.099778	0.000596
9	0.060000	0.061000	0.058000	0.061000	0.056000	0.064000	0.058000	0.057000	0.058000	0.059222	0.000830
10	0.033000	0.033000	0.038000	0.033000	0.037000	0.032000	0.032000	0.039000	0.037000	0.034889	0.000935
11	0.058000	0.054000	0.060000	0.054000	0.057000	0.054000	0.057000	0.060000	0.060000	0.057111	0.000873
12	0.093000	0.089000	0.093000	0.089000	0.091000	0.091000	0.094000	0.096000	0.096000	0.092444	0.000884
13	0.097000	0.094000	0.097000	0.094000	0.096000	0.097000	0.099000	0.101000	0.100000	0.097222	0.000813
14	0.102000	0.098000	0.100000	0.098000	0.099000	0.101000	0.102000	0.105000	0.104000	0.101000	0.000833
15	0.093000	0.091000	0.091000	0.091000	0.092000	0.093000	0.094000	0.096000	0.096000	0.093000	0.000667
16	0.085000	0.084000	0.084000	0.083000	0.085000	0.086000	0.086000	0.088000	0.087000	0.085333	0.000527
17	0.067000	0.067000	0.066000	0.067000	0.067000	0.068000	0.068000	0.069000	0.070000	0.067667	0.000408
18	0.023000	0.022000	0.022000	0.023000	0.022000	0.023000	0.023000	0.023000	0.024000	0.022778	0.000222
