Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.225000	0.218000	0.219000	0.214000	0.222000	0.224000	0.222000	0.223000	0.221000	0.220889	0.001136
3	0.174000	0.171000	0.170000	0.169000	0.170000	0.175000	0.171000	0.173000	0.173000	0.171778	0.000683
4	0.205000	0.201000	0.201000	0.200000	0.200000	0.206000	0.202000	0.204000	0.205000	0.202667	0.000782
5	0.202000	0.199000	0.199000	0.197000	0.199000	0.202000	0.200000	0.202000	0.205000	0.200556	0.000801
6	0.211000	0.208000	0.210000	0.206000	0.208000	0.212000	0.210000	0.212000	0.215000	0.210222	0.000894
7	0.200000	0.197000	0.200000	0.193000	0.198000	0.201000	0.199000	0.201000	0.204000	0.199222	0.001024
8	0.197000	0.195000	0.197000	0.192000	0.196000	0.200000	0.196000	0.199000	0.202000	0.197111	0.000978
9	0.181000	0.179000	0.180000	0.174000	0.179000	0.183000	0.179000	0.181000	0.186000	0.180222	0.001090
10	0.171000	0.170000	0.172000	0.165000	0.170000	0.175000	0.171000	0.173000	0.177000	0.171556	0.001132
11	0.150000	0.151000	0.151000	0.146000	0.150000	0.155000	0.151000	0.154000	0.159000	0.151889	0.001230
12	0.138000	0.139000	0.139000	0.135000	0.139000	0.144000	0.139000	0.142000	0.146000	0.140111	0.001111
13	0.119000	0.120000	0.119000	0.117000	0.120000	0.124000	0.121000	0.123000	0.126000	0.121000	0.000943
14	0.103000	0.104000	0.104000	0.102000	0.105000	0.108000	0.106000	0.108000	0.108000	0.105333	0.000764
15	0.077000	0.079000	0.078000	0.077000	0.080000	0.082000	0.079000	0.081000	0.082000	0.079444	0.000648
16	0.026000	0.027000	0.027000	0.025000	0.027000	0.027000	0.027000	0.027000	0.027000	0.026667	0.000236
