Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.111000	0.110000	0.116000	0.113000	0.109000	0.111000	0.107000	0.108000	0.113000	0.110889	0.000935
3	0.224000	0.220000	0.221000	0.222000	0.222000	0.221000	0.216000	0.215000	0.224000	0.220556	0.001056
4	0.226000	0.224000	0.225000	0.225000	0.225000	0.224000	0.223000	0.219000	0.226000	0.224111	0.000716
5	0.235000	0.234000	0.232000	0.235000	0.235000	0.233000	0.232000	0.229000	0.236000	0.233444	0.000729
6	0.210000	0.210000	0.208000	0.210000	0.212000	0.209000	0.210000	0.206000	0.211000	0.209556	0.000580
7	0.197000	0.198000	0.196000	0.197000	0.200000	0.197000	0.198000	0.194000	0.200000	0.197444	0.000626
8	0.116000	0.119000	0.117000	0.119000	0.119000	0.117000	0.119000	0.115000	0.120000	0.117889	0.000564
9	0.078000	0.082000	0.079000	0.082000	0.082000	0.079000	0.079000	0.078000	0.081000	0.080000	0.000577
10	0.044000	0.039000	0.039000	0.040000	0.042000	0.042000	0.040000	0.042000	0.041000	0.041000	0.000553
11	0.067000	0.065000	0.065000	0.064000	0.065000	0.066000	0.064000	0.065000	0.069000	0.065556	0.000530
12	0.108000	0.107000	0.105000	0.105000	0.108000	0.107000	0.106000	0.106000	0.113000	0.107222	0.000813
13	0.111000	0.110000	0.109000	0.108000	0.110000	0.109000	0.110000	0.110000	0.116000	0.110333	0.000764
14	0.115000	0.116000	0.112000	0.112000	0.113000	0.113000	0.114000	0.115000	0.120000	0.114444	0.000835
15	0.103000	0.104000	0.100000	0.099000	0.100000	0.101000	0.103000	0.103000	0.108000	0.102333	0.000913
16	0.094000	0.096000	0.093000	0.091000	0.091000	0.093000	0.094000	0.094000	0.099000	0.093889	0.000824
17	0.073000	0.075000	0.072000	0.071000	0.071000	0.072000	0.073000	0.074000	0.076000	0.073000	0.000577
18	0.026000	0.026000	0.024000	0.025000	0.025000	0.025000	0.025000	0.025000	0.026000	0.025222	0.000222
