Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.218000	0.220000	0.221000	0.222000	0.218000	0.226000	0.228000	0.221000	0.221000	0.221667	0.001118
3	0.172000	0.174000	0.171000	0.170000	0.167000	0.175000	0.173000	0.172000	0.171000	0.171667	0.000782
4	0.205000	0.206000	0.204000	0.203000	0.201000	0.208000	0.207000	0.204000	0.204000	0.204667	0.000707
5	0.205000	0.204000	0.203000	0.203000	0.201000	0.208000	0.207000	0.204000	0.204000	0.204333	0.000707
6	0.217000	0.217000	0.216000	0.215000	0.213000	0.218000	0.220000	0.215000	0.217000	0.216444	0.000669
7	0.208000	0.206000	0.207000	0.204000	0.203000	0.207000	0.210000	0.206000	0.207000	0.206444	0.000689
8	0.206000	0.204000	0.206000	0.203000	0.202000	0.206000	0.208000	0.205000	0.208000	0.205333	0.000687
9	0.190000	0.187000	0.189000	0.186000	0.184000	0.190000	0.191000	0.188000	0.191000	0.188444	0.000801
10	0.182000	0.178000	0.181000	0.178000	0.176000	0.181000	0.182000	0.180000	0.183000	0.180111	0.000772
11	0.161000	0.158000	0.160000	0.158000	0.156000	0.161000	0.162000	0.160000	0.163000	0.159889	0.000735
12	0.148000	0.146000	0.148000	0.146000	0.144000	0.149000	0.150000	0.147000	0.150000	0.147556	0.000669
13	0.127000	0.124000	0.125000	0.124000	0.122000	0.126000	0.127000	0.124000	0.128000	0.125222	0.000641
14	0.109000	0.107000	0.109000	0.108000	0.106000	0.109000	0.110000	0.107000	0.110000	0.108333	0.000471
15	0.081000	0.080000	0.081000	0.081000	0.079000	0.081000	0.081000	0.079000	0.082000	0.080556	0.000338
16	0.027000	0.027000	0.027000	0.027000	0.027000	0.027000	0.027000	0.026000	0.028000	0.027000	0.000167
