Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.220000	0.219000	0.224000	0.222000	0.216000	0.222000	0.221000	0.224000	0.222000	0.221111	0.000841
3	0.171000	0.170000	0.172000	0.171000	0.168000	0.174000	0.170000	0.171000	0.172000	0.171000	0.000553
4	0.203000	0.201000	0.204000	0.204000	0.203000	0.205000	0.202000	0.204000	0.204000	0.203333	0.000408
5	0.204000	0.199000	0.204000	0.204000	0.204000	0.204000	0.202000	0.203000	0.203000	0.203000	0.000553
6	0.216000	0.210000	0.216000	0.218000	0.216000	0.216000	0.213000	0.215000	0.215000	0.215000	0.000764
7	0.206000	0.200000	0.206000	0.208000	0.207000	0.206000	0.203000	0.205000	0.205000	0.205111	0.000790
8	0.206000	0.199000	0.205000	0.208000	0.207000	0.205000	0.201000	0.204000	0.204000	0.204333	0.000943
9	0.189000	0.182000	0.189000	0.191000	0.191000	0.187000	0.185000	0.186000	0.187000	0.187444	0.000973
10	0.181000	0.174000	0.182000	0.183000	0.184000	0.178000	0.177000	0.179000	0.179000	0.179667	0.001054
11	0.162000	0.154000	0.162000	0.163000	0.165000	0.159000	0.159000	0.160000	0.159000	0.160333	0.001054
12	0.151000	0.143000	0.151000	0.151000	0.152000	0.147000	0.147000	0.148000	0.148000	0.148667	0.000957
13	0.131000	0.124000	0.131000	0.130000	0.131000	0.126000	0.125000	0.127000	0.127000	0.128000	0.000928
14	0.115000	0.109000	0.114000	0.113000	0.114000	0.110000	0.110000	0.111000	0.110000	0.111778	0.000741
15	0.086000	0.081000	0.085000	0.084000	0.085000	0.082000	0.083000	0.081000	0.082000	0.083222	0.000619
16	0.030000	0.028000	0.029000	0.029000	0.028000	0.027000	0.029000	0.027000	0.029000	0.028444	0.000338
