Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.080000	0.093000	0.092000	0.104000	0.100000	0.093000	0.088000	0.089000	0.099000	0.093111	0.002406
3	0.209000	0.199000	0.209000	0.213000	0.216000	0.208000	0.207000	0.212000	0.202000	0.208333	0.001764
4	0.210000	0.199000	0.199000	0.200000	0.213000	0.206000	0.205000	0.210000	0.203000	0.205000	0.001732
5	0.220000	0.205000	0.210000	0.211000	0.220000	0.217000	0.215000	0.220000	0.211000	0.214333	0.001795
6	0.196000	0.183000	0.187000	0.186000	0.197000	0.192000	0.186000	0.205000	0.185000	0.190778	0.002425
7	0.186000	0.176000	0.176000	0.173000	0.187000	0.185000	0.174000	0.193000	0.174000	0.180444	0.002444
8	0.108000	0.102000	0.106000	0.102000	0.103000	0.103000	0.098000	0.112000	0.105000	0.104333	0.001344
9	0.065000	0.054000	0.066000	0.060000	0.054000	0.056000	0.051000	0.065000	0.065000	0.059556	0.001966
10	0.053000	0.042000	0.032000	0.045000	0.041000	0.052000	0.049000	0.051000	0.043000	0.045333	0.002242
11	0.080000	0.073000	0.061000	0.074000	0.075000	0.074000	0.083000	0.083000	0.074000	0.075222	0.002222
12	0.125000	0.102000	0.105000	0.117000	0.115000	0.116000	0.121000	0.125000	0.115000	0.115667	0.002651
13	0.131000	0.107000	0.113000	0.120000	0.122000	0.119000	0.128000	0.135000	0.123000	0.122000	0.002901
14	0.133000	0.114000	0.116000	0.126000	0.123000	0.121000	0.133000	0.143000	0.129000	0.126444	0.003056
15	0.121000	0.103000	0.105000	0.115000	0.112000	0.108000	0.121000	0.130000	0.115000	0.114444	0.002878
16	0.112000	0.096000	0.094000	0.105000	0.099000	0.097000	0.107000	0.117000	0.104000	0.103444	0.002577
17	0.086000	0.077000	0.076000	0.082000	0.077000	0.074000	0.082000	0.089000	0.080000	0.080333	0.001641
18	0.028000	0.028000	0.026000	0.025000	0.026000	0.023000	0.027000	0.030000	0.028000	0.026778	0.000683
