Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.219000	0.225000	0.228000	0.204000	0.220000	0.228000	0.227000	0.227000	0.228000	0.222889	0.002627
3	0.169000	0.181000	0.172000	0.161000	0.173000	0.181000	0.168000	0.167000	0.175000	0.171889	0.002182
4	0.203000	0.211000	0.203000	0.190000	0.206000	0.213000	0.201000	0.196000	0.207000	0.203333	0.002386
5	0.204000	0.215000	0.206000	0.187000	0.207000	0.215000	0.203000	0.197000	0.203000	0.204111	0.002874
6	0.216000	0.228000	0.220000	0.200000	0.223000	0.231000	0.214000	0.206000	0.212000	0.216667	0.003346
7	0.205000	0.218000	0.209000	0.188000	0.212000	0.218000	0.202000	0.203000	0.204000	0.206556	0.003083
8	0.206000	0.219000	0.206000	0.190000	0.212000	0.218000	0.204000	0.204000	0.203000	0.206889	0.002922
9	0.194000	0.204000	0.193000	0.177000	0.196000	0.203000	0.186000	0.188000	0.184000	0.191667	0.002949
10	0.185000	0.198000	0.184000	0.171000	0.185000	0.194000	0.183000	0.180000	0.180000	0.184444	0.002631
11	0.164000	0.180000	0.164000	0.151000	0.164000	0.177000	0.165000	0.162000	0.160000	0.165222	0.002890
12	0.152000	0.167000	0.150000	0.141000	0.151000	0.162000	0.153000	0.153000	0.149000	0.153111	0.002502
13	0.128000	0.144000	0.129000	0.123000	0.128000	0.140000	0.132000	0.133000	0.131000	0.132000	0.002147
14	0.112000	0.124000	0.112000	0.108000	0.111000	0.119000	0.115000	0.116000	0.113000	0.114444	0.001591
15	0.084000	0.093000	0.087000	0.082000	0.084000	0.084000	0.088000	0.087000	0.085000	0.086000	0.001080
16	0.029000	0.031000	0.030000	0.029000	0.029000	0.028000	0.032000	0.029000	0.027000	0.029333	0.000500
