Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.220000	0.216000	0.225000	0.216000	0.224000	0.220000	0.226000	0.224000	0.219000	0.221111	0.001263
3	0.171000	0.164000	0.173000	0.169000	0.172000	0.172000	0.176000	0.172000	0.170000	0.171000	0.001093
4	0.201000	0.195000	0.203000	0.199000	0.202000	0.203000	0.207000	0.202000	0.202000	0.201556	0.001082
5	0.200000	0.194000	0.201000	0.198000	0.201000	0.202000	0.207000	0.202000	0.202000	0.200778	0.001164
6	0.211000	0.204000	0.213000	0.208000	0.213000	0.213000	0.218000	0.212000	0.212000	0.211556	0.001281
7	0.199000	0.194000	0.203000	0.198000	0.203000	0.203000	0.208000	0.200000	0.203000	0.201222	0.001331
8	0.197000	0.193000	0.202000	0.197000	0.202000	0.201000	0.206000	0.199000	0.202000	0.199889	0.001274
9	0.179000	0.177000	0.185000	0.180000	0.184000	0.183000	0.189000	0.183000	0.185000	0.182778	0.001211
10	0.171000	0.169000	0.178000	0.172000	0.177000	0.175000	0.181000	0.175000	0.177000	0.175000	0.001258
11	0.152000	0.149000	0.158000	0.154000	0.157000	0.155000	0.161000	0.155000	0.156000	0.155222	0.001152
12	0.142000	0.138000	0.147000	0.142000	0.144000	0.143000	0.147000	0.144000	0.145000	0.143556	0.000930
13	0.121000	0.119000	0.126000	0.122000	0.125000	0.124000	0.125000	0.123000	0.124000	0.123222	0.000741
14	0.105000	0.106000	0.109000	0.106000	0.108000	0.108000	0.108000	0.107000	0.108000	0.107222	0.000434
15	0.080000	0.079000	0.081000	0.079000	0.081000	0.081000	0.081000	0.081000	0.082000	0.080556	0.000338
16	0.027000	0.027000	0.028000	0.026000	0.027000	0.027000	0.027000	0.028000	0.028000	0.027222	0.000222
