Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.219000	0.224000	0.220000	0.220000	0.218000	0.219000	0.222000	0.222000	0.225000	0.221000	0.000799
3	0.169000	0.175000	0.170000	0.171000	0.170000	0.168000	0.174000	0.173000	0.173000	0.171444	0.000801
4	0.203000	0.207000	0.201000	0.202000	0.202000	0.200000	0.207000	0.206000	0.205000	0.203667	0.000882
5	0.204000	0.207000	0.201000	0.201000	0.202000	0.200000	0.206000	0.206000	0.206000	0.203667	0.000898
6	0.215000	0.218000	0.214000	0.212000	0.213000	0.213000	0.217000	0.218000	0.217000	0.215222	0.000778
7	0.203000	0.206000	0.204000	0.202000	0.203000	0.202000	0.206000	0.208000	0.207000	0.204556	0.000747
8	0.204000	0.205000	0.202000	0.201000	0.202000	0.199000	0.205000	0.207000	0.205000	0.203333	0.000833
9	0.185000	0.189000	0.189000	0.184000	0.186000	0.184000	0.187000	0.191000	0.189000	0.187111	0.000841
10	0.178000	0.181000	0.179000	0.177000	0.179000	0.177000	0.180000	0.183000	0.179000	0.179222	0.000641
11	0.156000	0.162000	0.161000	0.158000	0.159000	0.159000	0.161000	0.163000	0.159000	0.159778	0.000722
12	0.145000	0.148000	0.150000	0.147000	0.146000	0.147000	0.149000	0.151000	0.147000	0.147778	0.000641
13	0.124000	0.127000	0.129000	0.128000	0.126000	0.125000	0.128000	0.129000	0.125000	0.126778	0.000619
14	0.110000	0.112000	0.112000	0.111000	0.110000	0.110000	0.112000	0.113000	0.109000	0.111000	0.000441
15	0.087000	0.085000	0.097000	0.084000	0.082000	0.083000	0.085000	0.084000	0.081000	0.085333	0.001572
16	0.032000	0.044000	0.056000	0.028000	0.028000	0.028000	0.029000	0.028000	0.027000	0.033333	0.003337
