Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.217000	0.219000	0.234000	0.221000	0.220000	0.224000	0.210000	0.210000	0.220000	0.219444	0.002416
3	0.168000	0.175000	0.182000	0.172000	0.174000	0.176000	0.165000	0.166000	0.186000	0.173778	0.002350
4	0.201000	0.205000	0.217000	0.203000	0.206000	0.207000	0.199000	0.195000	0.215000	0.205333	0.002369
5	0.200000	0.207000	0.221000	0.204000	0.208000	0.210000	0.198000	0.196000	0.219000	0.207000	0.002911
6	0.211000	0.215000	0.233000	0.215000	0.220000	0.220000	0.211000	0.206000	0.231000	0.218000	0.003032
7	0.203000	0.197000	0.227000	0.207000	0.210000	0.212000	0.202000	0.196000	0.224000	0.208667	0.003651
8	0.203000	0.197000	0.226000	0.206000	0.208000	0.214000	0.202000	0.196000	0.221000	0.208111	0.003454
9	0.182000	0.183000	0.210000	0.189000	0.191000	0.193000	0.188000	0.183000	0.206000	0.191667	0.003350
10	0.176000	0.175000	0.199000	0.180000	0.183000	0.190000	0.178000	0.178000	0.197000	0.184000	0.003037
11	0.158000	0.155000	0.177000	0.160000	0.163000	0.175000	0.157000	0.159000	0.173000	0.164111	0.002836
12	0.146000	0.142000	0.163000	0.148000	0.152000	0.167000	0.147000	0.146000	0.157000	0.152000	0.002848
13	0.126000	0.122000	0.136000	0.127000	0.131000	0.139000	0.125000	0.126000	0.134000	0.129556	0.001908
14	0.109000	0.104000	0.119000	0.112000	0.114000	0.130000	0.105000	0.108000	0.117000	0.113111	0.002710
15	0.078000	0.080000	0.087000	0.085000	0.088000	0.104000	0.080000	0.081000	0.090000	0.085889	0.002653
16	0.027000	0.028000	0.029000	0.030000	0.047000	0.053000	0.026000	0.028000	0.030000	0.033111	0.003259
