Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.100000	0.085000	0.086000	0.085000	0.092000	0.089000	0.097000	0.086000	0.097000	0.090778	0.001970
3	0.195000	0.197000	0.201000	0.200000	0.201000	0.210000	0.202000	0.203000	0.206000	0.201667	0.001491
4	0.197000	0.196000	0.193000	0.197000	0.196000	0.206000	0.197000	0.198000	0.202000	0.198000	0.001269
5	0.204000	0.205000	0.198000	0.204000	0.206000	0.215000	0.206000	0.209000	0.212000	0.206556	0.001651
6	0.180000	0.182000	0.175000	0.184000	0.178000	0.188000	0.180000	0.187000	0.188000	0.182444	0.001547
7	0.169000	0.176000	0.165000	0.177000	0.169000	0.181000	0.175000	0.178000	0.178000	0.174222	0.001770
8	0.101000	0.101000	0.090000	0.100000	0.095000	0.110000	0.101000	0.109000	0.104000	0.101222	0.002080
9	0.055000	0.057000	0.042000	0.052000	0.054000	0.066000	0.049000	0.059000	0.063000	0.055222	0.002414
10	0.030000	0.048000	0.050000	0.060000	0.056000	0.049000	0.052000	0.043000	0.037000	0.047222	0.003104
11	0.060000	0.080000	0.072000	0.076000	0.078000	0.072000	0.075000	0.073000	0.071000	0.073000	0.001908
12	0.092000	0.118000	0.104000	0.115000	0.117000	0.118000	0.109000	0.112000	0.112000	0.110778	0.002803
13	0.096000	0.121000	0.110000	0.122000	0.125000	0.125000	0.112000	0.114000	0.116000	0.115667	0.003069
14	0.103000	0.128000	0.115000	0.128000	0.129000	0.132000	0.116000	0.116000	0.121000	0.120889	0.003102
15	0.091000	0.118000	0.107000	0.117000	0.117000	0.122000	0.108000	0.106000	0.109000	0.110556	0.003105
16	0.085000	0.109000	0.100000	0.105000	0.105000	0.109000	0.097000	0.097000	0.099000	0.100667	0.002506
17	0.071000	0.084000	0.078000	0.085000	0.081000	0.082000	0.075000	0.075000	0.078000	0.078778	0.001544
18	0.023000	0.027000	0.024000	0.028000	0.027000	0.026000	0.026000	0.025000	0.024000	0.025556	0.000556
