Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.216000	0.221000	0.221000	0.220000	0.217000	0.218000	0.217000	0.220000	0.225000	0.219444	0.000930
3	0.169000	0.170000	0.174000	0.175000	0.170000	0.171000	0.173000	0.174000	0.176000	0.172444	0.000835
4	0.198000	0.200000	0.205000	0.205000	0.199000	0.200000	0.205000	0.203000	0.205000	0.202222	0.000983
5	0.196000	0.198000	0.204000	0.201000	0.198000	0.197000	0.201000	0.201000	0.203000	0.199889	0.000920
6	0.205000	0.208000	0.213000	0.209000	0.207000	0.205000	0.210000	0.210000	0.212000	0.208778	0.000940
7	0.194000	0.195000	0.201000	0.196000	0.196000	0.193000	0.200000	0.197000	0.201000	0.197000	0.001000
8	0.191000	0.193000	0.198000	0.192000	0.192000	0.190000	0.195000	0.194000	0.198000	0.193667	0.000957
9	0.175000	0.175000	0.181000	0.174000	0.175000	0.173000	0.177000	0.175000	0.179000	0.176000	0.000850
10	0.166000	0.166000	0.172000	0.165000	0.166000	0.165000	0.167000	0.165000	0.170000	0.166889	0.000824
11	0.147000	0.147000	0.153000	0.146000	0.148000	0.146000	0.146000	0.146000	0.150000	0.147667	0.000799
12	0.136000	0.135000	0.141000	0.135000	0.136000	0.134000	0.134000	0.134000	0.138000	0.135889	0.000772
13	0.117000	0.116000	0.122000	0.117000	0.118000	0.116000	0.116000	0.115000	0.119000	0.117333	0.000707
14	0.102000	0.101000	0.106000	0.102000	0.103000	0.101000	0.101000	0.100000	0.103000	0.102111	0.000588
15	0.078000	0.076000	0.080000	0.076000	0.078000	0.077000	0.077000	0.075000	0.078000	0.077222	0.000494
16	0.027000	0.025000	0.027000	0.026000	0.026000	0.026000	0.026000	0.025000	0.027000	0.026111	0.000261
