Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.219000	0.223000	0.218000	0.223000	0.220000	0.222000	0.227000	0.218000	0.220000	0.221111	0.000978
3	0.171000	0.174000	0.167000	0.170000	0.171000	0.173000	0.177000	0.169000	0.173000	0.171667	0.000986
4	0.204000	0.208000	0.202000	0.203000	0.204000	0.206000	0.209000	0.203000	0.207000	0.205111	0.000824
5	0.203000	0.206000	0.202000	0.204000	0.203000	0.206000	0.207000	0.201000	0.206000	0.204222	0.000703
6	0.214000	0.218000	0.214000	0.215000	0.215000	0.217000	0.219000	0.213000	0.216000	0.215667	0.000667
7	0.203000	0.208000	0.204000	0.206000	0.204000	0.207000	0.206000	0.203000	0.205000	0.205111	0.000588
8	0.201000	0.207000	0.202000	0.204000	0.201000	0.205000	0.205000	0.202000	0.204000	0.203444	0.000689
9	0.184000	0.190000	0.184000	0.187000	0.184000	0.188000	0.190000	0.186000	0.188000	0.186778	0.000813
10	0.174000	0.183000	0.176000	0.180000	0.175000	0.180000	0.181000	0.178000	0.179000	0.178444	0.000988
11	0.154000	0.163000	0.155000	0.159000	0.155000	0.160000	0.160000	0.157000	0.160000	0.158111	0.001006
12	0.142000	0.150000	0.143000	0.146000	0.143000	0.147000	0.148000	0.145000	0.148000	0.145778	0.000909
13	0.122000	0.127000	0.122000	0.123000	0.122000	0.125000	0.125000	0.124000	0.126000	0.124000	0.000624
14	0.106000	0.110000	0.106000	0.106000	0.106000	0.109000	0.109000	0.107000	0.109000	0.107556	0.000556
15	0.080000	0.082000	0.078000	0.079000	0.080000	0.082000	0.081000	0.080000	0.081000	0.080333	0.000441
16	0.026000	0.028000	0.025000	0.027000	0.027000	0.027000	0.028000	0.026000	0.028000	0.026889	0.000351
