Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.089000	0.090000	0.088000	0.091000	0.092000	0.091000	0.090000	0.088000	0.088000	0.089667	0.000500
3	0.203000	0.203000	0.199000	0.203000	0.203000	0.203000	0.204000	0.202000	0.200000	0.202222	0.000547
4	0.200000	0.199000	0.197000	0.200000	0.201000	0.202000	0.202000	0.200000	0.200000	0.200111	0.000512
5	0.212000	0.211000	0.208000	0.210000	0.212000	0.212000	0.213000	0.208000	0.211000	0.210778	0.000596
6	0.190000	0.193000	0.186000	0.188000	0.191000	0.191000	0.191000	0.187000	0.187000	0.189333	0.000799
7	0.183000	0.179000	0.176000	0.180000	0.182000	0.183000	0.184000	0.179000	0.179000	0.180556	0.000868
8	0.105000	0.108000	0.101000	0.105000	0.107000	0.107000	0.107000	0.103000	0.105000	0.105333	0.000745
9	0.062000	0.063000	0.061000	0.062000	0.065000	0.061000	0.068000	0.058000	0.061000	0.062333	0.000943
10	0.053000	0.049000	0.057000	0.049000	0.049000	0.053000	0.049000	0.058000	0.052000	0.052111	0.001172
11	0.082000	0.082000	0.081000	0.079000	0.079000	0.081000	0.077000	0.084000	0.085000	0.081111	0.000841
12	0.125000	0.127000	0.123000	0.122000	0.122000	0.123000	0.120000	0.123000	0.122000	0.123000	0.000667
13	0.130000	0.132000	0.130000	0.127000	0.128000	0.128000	0.125000	0.128000	0.127000	0.128333	0.000687
14	0.134000	0.136000	0.129000	0.130000	0.132000	0.132000	0.130000	0.140000	0.133000	0.132889	0.001148
15	0.120000	0.120000	0.115000	0.117000	0.117000	0.118000	0.115000	0.130000	0.118000	0.118889	0.001513
16	0.108000	0.115000	0.108000	0.106000	0.105000	0.106000	0.108000	0.112000	0.108000	0.108444	0.001056
17	0.081000	0.106000	0.102000	0.081000	0.080000	0.081000	0.083000	0.107000	0.088000	0.089889	0.003882
18	0.039000	0.089000	0.070000	0.027000	0.026000	0.027000	0.047000	0.058000	0.051000	0.048222	0.007189
