Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.234000	0.205000	0.232000	0.243000	0.224000	0.223000	0.223000	0.221000	0.224000	0.225444	0.003492
3	0.177000	0.160000	0.185000	0.198000	0.177000	0.173000	0.176000	0.172000	0.175000	0.177000	0.003416
4	0.206000	0.189000	0.212000	0.226000	0.206000	0.202000	0.205000	0.200000	0.202000	0.205333	0.003312
5	0.202000	0.183000	0.210000	0.218000	0.205000	0.201000	0.205000	0.200000	0.202000	0.202889	0.003111
6	0.211000	0.194000	0.219000	0.232000	0.214000	0.212000	0.215000	0.209000	0.212000	0.213111	0.003302
7	0.197000	0.182000	0.207000	0.213000	0.203000	0.202000	0.205000	0.199000	0.201000	0.201000	0.002843
8	0.195000	0.180000	0.207000	0.218000	0.201000	0.200000	0.203000	0.196000	0.199000	0.199889	0.003385
9	0.178000	0.167000	0.186000	0.211000	0.185000	0.183000	0.185000	0.183000	0.183000	0.184556	0.003837
10	0.170000	0.157000	0.174000	0.190000	0.176000	0.176000	0.177000	0.170000	0.175000	0.173889	0.002874
11	0.151000	0.139000	0.155000	0.177000	0.157000	0.154000	0.159000	0.154000	0.156000	0.155778	0.003278
12	0.141000	0.127000	0.143000	0.166000	0.146000	0.143000	0.146000	0.141000	0.144000	0.144111	0.003335
13	0.122000	0.111000	0.124000	0.160000	0.126000	0.123000	0.127000	0.129000	0.124000	0.127333	0.004422
14	0.106000	0.094000	0.107000	0.153000	0.112000	0.107000	0.111000	0.112000	0.111000	0.112556	0.005388
15	0.081000	0.072000	0.082000	0.113000	0.088000	0.080000	0.089000	0.089000	0.084000	0.086444	0.003775
16	0.027000	0.026000	0.027000	0.094000	0.046000	0.030000	0.040000	0.043000	0.033000	0.040667	0.007110
