Carbon	SCD_traj1_bloc1	SCD_traj1_bloc2	SCD_traj1_bloc3	SCD_traj2_bloc1	SCD_traj2_bloc2	SCD_traj2_bloc3	SCD_traj3_bloc1	SCD_traj3_bloc2	SCD_traj3_bloc3	scd_mean	se
2	0.094000	0.093000	0.095000	0.098000	0.089000	0.095000	0.090000	0.100000	0.105000	0.095444	0.001659
3	0.202000	0.204000	0.206000	0.206000	0.199000	0.200000	0.207000	0.202000	0.199000	0.202778	0.001038
4	0.198000	0.200000	0.199000	0.201000	0.198000	0.195000	0.205000	0.195000	0.197000	0.198667	0.001041
5	0.205000	0.208000	0.206000	0.209000	0.205000	0.202000	0.216000	0.203000	0.208000	0.206889	0.001379
6	0.179000	0.184000	0.180000	0.181000	0.180000	0.177000	0.193000	0.180000	0.184000	0.182000	0.001563
7	0.169000	0.172000	0.170000	0.172000	0.170000	0.168000	0.182000	0.172000	0.175000	0.172222	0.001402
8	0.096000	0.100000	0.095000	0.099000	0.099000	0.095000	0.100000	0.098000	0.102000	0.098222	0.000813
9	0.053000	0.058000	0.053000	0.056000	0.057000	0.053000	0.057000	0.063000	0.064000	0.057111	0.001369
10	0.039000	0.037000	0.042000	0.040000	0.037000	0.038000	0.046000	0.033000	0.040000	0.039111	0.001207
11	0.062000	0.064000	0.066000	0.064000	0.061000	0.063000	0.070000	0.060000	0.071000	0.064556	0.001271
12	0.095000	0.101000	0.103000	0.099000	0.096000	0.096000	0.110000	0.098000	0.109000	0.100778	0.001854
13	0.099000	0.106000	0.108000	0.103000	0.100000	0.101000	0.113000	0.102000	0.110000	0.104667	0.001616
14	0.103000	0.110000	0.112000	0.108000	0.106000	0.106000	0.115000	0.111000	0.112000	0.109222	0.001256
15	0.095000	0.099000	0.101000	0.099000	0.096000	0.097000	0.106000	0.104000	0.100000	0.099667	0.001202
16	0.088000	0.090000	0.092000	0.090000	0.087000	0.089000	0.098000	0.094000	0.090000	0.090889	0.001124
17	0.069000	0.071000	0.073000	0.069000	0.069000	0.069000	0.075000	0.072000	0.070000	0.070778	0.000722
18	0.024000	0.024000	0.024000	0.024000	0.023000	0.023000	0.025000	0.022000	0.025000	0.023778	0.000324
